VERONA PORTA NUOVA,BOLOGNA C.LEAV
-11.0,1.5
-4.5,-0.5
-0.5,5.5
-0.5,3.0
-0.5,6.0
-5.0,3.5
-4.0,10.0
0.5,1.0
7.5,10.5
-4.0,0.5
5.0,36.0
1.5,4.0
-5.5,2.0
-10.5,2.0
0.0,6.5
-1.5,0.5
-1.5,5.0
-2.5,-0.5
-9.5,3.0
-9.0,1.0
-5.0,2.0
2.0,1.0
1.0,2.5
2.0,0.0
-0.5,5.0
-2.0,1.5
8.0,15.5
228.0,229.5
-2.5,5.0
3.0,5.5
-7.0,3.0
-2.0,5.5
0.0,4.5
-3.0,-2.0
-2.0,-1.0
4.0,7.5
-6.5,-0.5
1.0,6.5
-6.5,-0.5
-1.5,0.0
4.0,6.0
-4.0,2.0
-3.0,2.5
-7.0,1.5
-12.0,3.0
1.0,26.0
-1.5,3.5
-2.5,2.5
-1.0,6.0
-1.0,4.5
3.5,2.5
-2.0,4.0
-1.5,3.0
1.0,8.0
3.0,1.0
0.0,5.0
-4.0,3.5
-7.0,1.5
-8.5,3.5
-9.5,6.5
-11.5,3.0
-11.0,5.0
-2.0,13.0
-3.5,13.0
0.0,6.5
-7.0,-1.0
-12.0,-2.0
-4.0,5.0
-5.0,4.0
1.0,5.5
-2.0,2.5
10.0,8.0
-7.5,-0.5
-9.0,0.5
-4.0,3.5
-4.5,-2.5
-4.5,-3.5
-5.0,2.5
-0.5,6.5
-1.0,4.0
-7.5,-1.0
3.5,-0.5
-2.0,8.5
-4.0,0.5
-3.5,-2.0
4.0,7.0
-3.0,5.0
-9.5,7.5
-6.0,32.5
-1.0,4.0
-8.0,8.5
-3.0,-1.5
4.5,7.0
-8.0,4.0
-1.0,7.0
-1.0,2.0
-3.5,5.5
4.0,-4.0
-9.5,1.5
-3.5,-1.5
