TERMOLI,PESCARA
3.0,8.5
11.5,10.5
-2.0,-1.5
0.5,4.5
4.5,8.0
3.5,4.0
3.0,4.5
2.0,8.5
3.5,3.0
5.5,7.5
0.5,4.5
-3.0,-1.0
1.5,2.0
109.5,117.0
5.5,5.5
6.0,6.0
1.5,8.0
-3.0,9.0
13.5,12.0
2.5,7.5
2.5,3.5
3.0,3.5
46.0,45.0
3.0,4.0
3.0,7.0
7.0,7.5
1.5,5.0
3.0,6.5
13.0,15.0
2.0,5.5
5.5,8.5
1.0,2.0
8.0,8.5
7.5,5.5
2.5,3.0
6.5,4.5
-3.0,7.0
-5.0,-1.0
4.0,6.5
2.5,4.5
4.0,16.5
2.0,4.0
2.0,3.0
30.5,39.0
5.5,8.5
23.0,25.0
2.5,4.0
1.0,4.5
4.0,3.5
2.0,4.5
-3.0,1.5
7.0,11.5
2.5,11.0
8.0,9.5
1.0,7.0
1.5,7.0
2.5,1.5
8.0,7.5
4.5,6.5
2.5,2.0
2.5,6.0
2.0,1.0
-3.0,0.0
5.0,4.0
6.5,9.5
2.0,6.5
5.5,10.5
-1.0,1.5
4.0,4.0
4.5,9.0
3.5,11.0
12.0,12.5
4.5,10.5
0.0,-0.5
6.0,6.5
3.5,6.5
-1.5,0.0
31.5,37.5
6.0,5.5
8.5,14.0
1.5,6.5
6.5,7.5
5.0,3.5
3.0,11.5
3.0,20.0
2.0,3.0
3.0,13.0
-2.0,5.0
4.0,4.0
1.0,2.0
3.0,7.5
119.5,119.5
6.0,13.0
11.0,16.0
-2.5,-0.5
1.5,6.5
3.0,3.0
6.5,5.5
4.5,3.5
4.0,4.5
