MILANO CENTRALE,MILANO ROGOREDO
4.5,3.5
0.5,-0.5
1.5,0.5
0.5,1.5
0.5,-0.5
13.0,13.5
1.0,0.0
2.0,0.5
2.5,2.0
1.5,0.0
1.0,-1.0
2.0,1.5
1.0,0.0
1.5,1.0
1.0,0.5
1.0,0.5
2.0,0.5
1.5,0.5
1.0,0.0
1.5,0.5
40.5,38.5
3.5,3.0
0.5,-0.5
1.5,0.0
11.0,11.5
2.0,1.0
1.5,1.5
3.5,3.0
10.5,12.5
2.0,1.0
1.0,-2.0
1.0,-1.5
14.0,12.0
6.0,6.0
1.0,1.0
3.5,2.5
1.0,0.0
1.5,0.0
5.5,4.5
31.0,34.0
1.0,4.0
30.0,33.0
3.0,2.0
5.5,4.0
8.5,14.0
8.0,8.0
2.5,2.5
1.0,1.0
1.0,2.5
1.5,1.0
1.0,0.0
36.0,36.0
1.5,0.0
1.0,0.0
1.5,3.0
0.5,0.5
22.5,24.5
6.5,6.0
1.5,0.0
1.0,-1.5
2.5,1.5
1.5,-1.0
5.0,4.5
1.0,-0.5
3.0,2.0
4.0,2.0
3.0,2.5
1.0,0.5
1.0,-0.5
16.5,17.5
0.5,-0.5
1.5,0.5
1.0,0.0
1.0,1.0
6.0,5.0
1.5,0.5
1.0,0.0
1.0,0.0
11.0,11.0
2.0,1.0
4.5,4.0
2.5,1.5
1.0,-0.5
1.0,0.0
4.0,4.0
0.5,-1.0
1.0,-0.5
1.0,1.5
1.0,-0.5
2.0,0.5
2.0,1.0
16.5,18.5
3.5,5.5
3.5,3.5
1.0,0.0
18.0,18.5
2.0,1.0
1.5,1.5
1.5,0.0
9.0,8.5
