day,timeslot_delay
22-01-2018,2.2941176470588234
23-12-2017,2.09375
27-09-2017,1.8137254901960784
07-01-2017,1.7983870967741933
07-01-2018,1.7628205128205128
23-12-2016,1.8735632183908044
27-11-2017,2.054054054054054
18-10-2017,2.236641221374046
08-12-2017,2.23
03-02-2018,2.486033519553071
08-12-2016,2.441624365482233
14-11-2017,2.60135135135135
20-10-2017,2.6570247933884295
10-12-2017,2.716730038022812
01-11-2017,2.711267605633802
07-02-2018,2.6699999999999986
18-11-2017,2.628526645768025
24-10-2017,2.588757396449705
14-12-2017,2.588757396449705
05-10-2017,2.547619047619046
22-02-2017,2.7302452316076296
26-01-2018,2.6910994764397915
27-12-2017,2.6738035264483626
17-12-2017,2.66144578313253
10-10-2017,2.9193548387096757
29-01-2018,2.923672566371684
04-11-2017,2.8744680851063804
06-03-2017,2.862500000000002
21-03-2017,2.866053169734148
23-11-2017,2.825098814229248
01-12-2016,2.793103448275862
01-12-2017,2.838235294117646
09-10-2017,2.8063943161634106
26-02-2017,2.791228070175441
03-01-2017,2.7956521739130453
03-01-2018,2.7610169491525416
05-12-2017,2.7532894736842106
12-02-2018,2.7992063492063495
20-12-2017,2.768518518518518
17-01-2018,2.7432024169184306
05-12-2016,2.731563421828908
14-10-2017,2.7007194244604324
08-11-2017,2.6701680672268893
13-11-2017,2.7714285714285705
02-10-2017,2.7393617021276584
19-10-2017,2.7153047989623857
28-09-2017,2.6921618204804028
04-02-2018,2.6814814814814802
06-01-2018,2.665454545454544
07-12-2017,2.6400709219858167
06-01-2017,2.6298245614035083
07-12-2016,2.627147766323025
30-11-2017,2.606538895152199
23-01-2018,2.6207087486157246
24-12-2016,2.6199342825848864
24-12-2017,2.6021505376344076
10-01-2018,2.602040816326529
28-12-2016,2.635638297872343
27-01-2018,2.6240837696335104
28-12-2017,2.6106514994829357
23-10-2017,2.6179149797570833
17-11-2017,2.6346534653465365
02-11-2017,2.649514563106797
06-10-2017,2.631779257849666
13-12-2016,2.62924528301887
13-12-2017,2.6657407407407407
16-12-2017,2.6500912408759136
25-02-2017,2.6545784224841333
03-03-2017,2.6490990990990984
27-10-2017,2.6360815602836887
08-02-2018,2.6203138622493456
31-01-2018,2.601200686106345
05-11-2017,2.58776371308017
11-10-2017,2.5990057995028994
22-11-2017,2.598534201954397
04-12-2017,2.5842696629213497
15-10-2017,2.5860979462875204
02-01-2017,2.593652037617555
26-11-2017,2.5808936825885995
02-01-2018,2.5684410646387805
07-03-2017,2.5663381349507204
21-12-2017,2.575746268656716
09-11-2017,2.575746268656716
21-12-2016,2.569310600444774
18-01-2018,2.5652971386647123
29-11-2017,2.567293777134587
01-02-2018,2.55766475644699
29-09-2017,2.545261669024044
24-01-2018,2.5398044692737414
25-12-2017,2.534137931034486
03-10-2017,2.537806539509536
12-12-2017,2.5319435104236705
22-10-2017,2.5279813457694846
29-12-2017,2.527302631578947
07-10-2017,2.521795705920625
12-12-2016,2.5148771021992258
28-01-2018,2.513107416879798
29-12-2016,2.5181067344345625
16-11-2017,2.5113065326633146
03-11-2017,2.5
05-02-2018,2.4880000000000004
09-01-2017,2.485626911314981
09-01-2018,2.499395770392752
30-12-2016,2.4933894230769207
15-01-2018,2.487194758784988
30-12-2017,2.4816893089190826
04-03-2017,2.478260869565216
06-11-2017,2.4705882352941195
15-12-2017,2.4719815135759666
30-01-2018,2.4666095890410937
10-02-2018,2.464346349745326
21-11-2017,2.4658836689037984
24-02-2017,2.4716193656093535
01-01-2018,2.4651741293532288
09-02-2018,2.4617277200656162
12-10-2017,2.4617277200656162
26-10-2017,2.4556036816459055
16-10-2017,2.4506966773847854
30-09-2017,2.4453290870488313
05-01-2018,2.43694167104571
19-01-2018,2.4314389989572467
05-01-2017,2.4307213284898808
31-10-2017,2.4304123711340173
20-01-2018,2.42305725971371
22-12-2017,2.4292214357937363
28-02-2017,2.4267371601208505
19-12-2017,2.4268962075848286
08-03-2017,2.426726279185301
25-11-2017,2.4245700245700283
08-01-2018,2.418615984405463
09-12-2017,2.4167069048768757
26-09-2017,2.425801819052183
02-02-2018,2.420740389178932
21-01-2018,2.42769665567593
04-10-2017,2.4223936418887337
15-11-2017,2.423379629629625
08-01-2017,2.421514312096025
09-12-2016,2.421514312096025
17-10-2017,2.4170865781035307
28-11-2017,2.4199183303085348
08-10-2017,2.4144529491220146
06-02-2018,2.409415439535916
11-12-2017,2.40925188136343
21-10-2017,2.4061538461538476
25-01-2018,2.405405405405399
26-12-2017,2.4032048505846673
26-12-2016,2.400733707380236
02-03-2017,2.3965591397849435
23-02-2017,2.395931477516062
20-11-2017,2.3928268251273317
16-01-2018,2.3879999999999986
31-12-2016,2.3885390428211624
07-11-2017,2.402702702702706
31-12-2017,2.397107438016534
02-12-2017,2.3944239442394437
11-02-2018,2.3917378917378875
27-02-2017,2.3926977687626803
02-12-2016,2.3993558776167427
25-10-2017,2.3983626198083097
19-11-2017,2.3930555555555584
05-03-2017,2.402810768012666
09-03-2017,2.4008280757097826
04-01-2018,2.396436961628822
30-10-2017,2.4001941747572846
24-11-2017,2.401771956856707
06-12-2016,2.398506319417854
13-10-2017,2.3992778411250497
06-12-2017,2.4149981110691328
01-10-2017,2.4126596543951946
18-12-2017,2.4130597014925406
04-01-2017,2.4185267857142887
