PADOVA,BOLOGNA C.LE
2.5,4.5
1.5,4.5
2.5,5.0
2.5,7.0
2.5,6.5
3.5,9.0
4.0,5.0
5.0,16.5
4.0,2.5
6.5,8.0
2.0,8.0
9.0,14.5
6.5,10.0
4.0,2.0
1.5,14.5
2.5,1.0
9.0,9.5
7.0,8.5
3.5,3.5
5.0,3.5
4.0,5.0
3.0,5.5
3.5,1.5
6.5,6.5
5.5,2.5
5.5,6.5
9.0,5.5
0.5,0.5
2.0,4.5
1.0,4.5
5.0,7.5
6.5,10.0
3.5,3.5
1.5,3.5
3.0,2.0
4.5,4.0
2.0,10.0
3.5,8.5
3.0,1.5
6.0,2.0
