FIORENZUOLA,MODENA
1.0,2.0
0.5,1.0
0.5,1.0
1.0,0.5
1.0,0.5
1.0,1.5
1.0,0.5
0.5,23.5
0.5,1.5
0.5,0.5
0.5,0.5
0.5,1.5
1.5,3.0
0.5,1.0
0.5,7.5
1.0,1.0
1.5,0.5
1.0,1.5
1.0,1.0
0.5,1.0
1.0,1.5
1.5,1.0
1.0,1.0
0.5,12.0
1.5,0.5
1.0,0.5
1.5,0.5
1.0,16.5
1.0,1.0
0.5,3.5
1.5,1.0
0.5,2.0
0.5,2.5
0.5,0.5
0.5,0.5
1.5,1.5
0.5,2.0
0.5,1.0
1.0,1.0
1.0,0.5
