FERRARA,TERME EUGANEE-ABANO-MONTEGR.
1.0,0.5
0.5,8.0
0.5,1.0
1.5,0.5
1.0,1.5
2.5,4.0
0.5,0.5
1.0,0.5
1.0,1.0
1.0,0.5
0.5,11.5
1.5,5.0
0.5,0.5
1.0,0.5
1.0,0.5
1.5,0.5
1.5,3.5
0.5,1.5
1.0,0.5
2.0,1.5
1.0,0.5
2.0,6.0
1.5,1.5
1.0,1.5
2.5,1.5
0.5,0.5
1.0,0.5
0.5,0.5
0.5,1.0
0.5,1.0
0.5,1.5
0.5,0.5
1.5,1.0
0.5,0.5
1.0,4.0
0.5,7.5
1.5,3.0
0.5,12.0
1.0,0.5
0.5,1.5
