BOLOGNA SAN VITALE,S.LAZZARO DI SAVENA
2.0,3.5
1.5,2.0
3.5,3.5
1.5,2.0
0.5,0.5
1.5,2.5
1.5,2.0
1.5,1.5
1.0,1.5
1.5,3.0
1.0,1.0
4.5,5.0
1.5,1.5
1.5,2.0
3.5,3.5
1.5,2.0
2.0,2.0
1.0,1.5
2.0,2.5
1.0,1.5
0.5,1.0
7.5,7.5
2.5,5.5
2.0,2.0
6.0,7.0
1.5,3.5
1.0,0.5
2.0,2.0
4.0,5.0
1.5,2.0
2.5,3.0
1.5,2.5
1.5,1.5
7.5,7.5
2.0,3.5
1.0,1.0
8.5,8.0
4.5,4.5
2.0,2.5
1.0,1.5
