NOGARA,MIRANDOLA
3.0,5.0
2.0,5.0
2.0,5.5
1.5,6.0
2.0,6.5
1.5,5.0
2.0,5.0
1.5,5.5
2.0,5.0
1.0,5.0
1.0,5.5
2.5,6.5
0.5,6.0
3.0,8.0
3.0,4.5
1.5,5.0
1.5,6.5
1.5,7.5
1.5,4.5
1.5,5.0
1.5,6.5
1.5,6.0
1.0,7.0
1.5,5.0
2.5,9.0
2.0,5.5
1.0,5.0
2.5,4.5
1.5,5.5
1.5,5.0
2.5,6.0
2.0,6.0
1.0,5.0
2.5,6.0
3.0,5.0
2.0,5.5
0.5,5.0
2.5,6.0
1.5,5.5
0.5,6.0
