FUNO CENTERGROSS,S.GIORGIO P.
7.0,5.5
3.5,4.0
0.5,0.5
2.0,0.5
8.0,2.0
0.5,0.5
0.5,0.5
0.5,1.0
0.5,1.0
1.0,0.5
0.5,1.5
0.5,0.5
5.5,4.5
0.5,0.5
0.5,0.5
0.5,0.5
9.0,7.0
0.5,0.5
3.5,4.5
7.5,1.5
0.5,0.5
1.0,0.5
11.0,6.0
1.0,2.5
1.0,1.0
0.5,0.5
0.5,1.0
2.0,1.0
0.5,1.0
0.5,0.5
11.0,5.5
7.5,7.5
0.5,1.0
0.5,0.5
1.0,0.5
7.5,3.0
7.0,7.5
10.5,9.0
1.5,2.0
4.0,1.0
