MONTECATINI TERME,MONTECATINI CENTRO
4.5,8.5
1.0,5.5
0.5,8.5
5.5,8.5
6.5,10.5
9.0,11.0
1.5,7.0
1.0,9.0
2.0,6.0
1.0,9.5
6.0,9.5
4.5,8.5
4.5,9.0
1.0,8.5
2.5,7.0
0.5,4.5
14.5,18.5
2.0,5.0
5.5,8.5
-0.5,7.5
1.5,7.5
0.5,8.0
7.5,11.5
4.5,9.0
5.0,9.5
9.0,13.5
35.0,39.0
7.5,11.5
2.5,7.5
1.5,10.0
6.0,11.0
2.0,9.0
3.0,7.5
1.0,6.5
14.5,17.5
3.0,7.0
3.0,6.5
3.5,12.5
3.5,8.0
6.5,9.5
6.0,9.0
12.5,16.0
2.5,7.5
5.0,8.5
3.5,7.5
4.0,8.0
6.5,11.0
6.5,10.0
3.5,8.0
4.5,10.0
5.5,9.5
4.5,9.0
6.0,10.0
0.5,4.5
3.5,7.0
-1.0,7.5
-0.5,3.5
0.5,3.5
5.0,8.0
5.0,9.5
2.0,6.5
5.0,10.0
1.0,5.5
7.0,11.0
2.5,6.5
2.0,18.5
4.0,9.5
3.0,6.5
2.5,6.0
7.0,10.5
-1.5,3.5
8.5,12.5
0.0,7.0
3.0,7.5
4.5,11.5
4.5,14.5
5.5,9.0
3.0,10.5
7.5,12.0
2.5,7.0
6.0,16.0
17.5,25.0
-1.0,8.0
7.5,12.0
8.0,12.5
5.5,9.5
-0.5,6.5
3.0,8.0
7.0,11.0
1.0,5.5
11.5,16.5
5.5,9.5
4.0,8.5
8.5,13.0
27.0,30.5
7.5,11.0
3.0,7.5
2.5,9.0
7.0,12.5
2.0,6.5
2.5,6.5
3.0,7.5
8.5,12.5
2.0,5.5
7.5,11.0
0.0,9.5
7.0,11.5
3.0,13.0
2.5,6.0
5.5,11.5
2.0,6.5
8.5,13.5
4.5,8.0
0.0,4.5
5.5,9.0
2.0,7.0
1.5,7.0
2.5,8.5
5.0,8.5
6.5,12.0
1.5,5.5
4.5,9.0
