FIRENZE S.M.N.,ROMA TERMINI
12.5,10.0
25.5,21.0
13.5,11.0
9.5,2.0
0.5,-7.0
18.5,21.0
12.5,3.0
5.5,2.0
13.5,11.0
8.5,5.0
9.5,8.0
7.5,4.0
1.5,0.0
12.5,29.0
3.5,-4.0
15.5,9.0
14.5,6.0
7.0,6.0
4.5,1.0
8.5,14.0
1.5,0.0
14.5,48.0
17.0,15.0
2.5,-2.0
4.5,10.0
21.5,214.0
3.5,7.0
7.0,2.0
4.0,3.0
15.5,10.0
19.0,20.0
7.5,14.0
7.5,8.0
1.0,-2.0
16.5,27.0
13.0,11.0
7.0,0.0
13.0,5.0
7.0,7.0
13.0,17.0
9.5,4.0
9.0,6.0
11.5,9.0
2.0,2.0
8.5,15.0
6.5,8.0
11.0,5.0
32.5,31.0
14.5,10.0
7.0,2.0
15.0,10.0
5.0,2.0
12.0,8.0
6.5,0.0
6.5,25.0
12.5,4.0
1.5,-4.0
13.5,9.0
9.5,6.0
5.5,-5.0
11.5,3.0
-1.0,-2.0
13.5,5.0
11.0,3.0
4.5,-1.5
12.0,7.0
11.0,6.0
15.0,17.0
6.0,15.0
13.5,11.0
14.0,6.0
11.0,9.0
7.0,1.0
9.5,8.0
5.0,0.0
9.5,16.0
11.5,8.0
8.0,38.0
7.0,2.0
39.5,48.0
14.0,7.0
4.5,4.0
6.5,0.0
8.0,0.0
5.0,-2.0
7.0,2.0
5.5,7.0
4.0,6.0
21.0,29.0
39.0,33.0
7.5,4.0
8.5,1.0
8.5,11.0
9.0,11.0
6.5,4.0
10.0,2.0
15.0,21.0
7.0,9.0
18.5,10.0
7.5,-0.5
4.5,0.0
10.5,19.0
6.5,5.0
4.5,1.0
6.5,2.0
6.0,2.0
7.5,16.0
55.0,68.0
4.0,5.0
11.0,42.0
5.5,-4.5
10.5,4.0
0.0,-2.0
6.0,10.0
10.5,11.0
9.0,9.0
8.5,5.0
13.5,12.0
9.0,1.0
6.0,3.0
15.0,7.0
15.0,14.0
6.5,3.0
12.0,5.0
12.0,13.0
12.0,2.0
2.0,20.0
6.0,3.0
9.5,17.0
20.5,15.0
29.0,25.0
6.5,-1.5
7.0,7.0
3.0,9.0
6.0,3.0
26.0,49.0
11.5,13.0
7.5,3.0
2.5,-6.0
8.5,7.0
5.0,-2.0
16.0,9.0
13.5,5.0
10.0,6.0
10.0,9.0
8.0,4.0
11.5,11.0
10.0,20.0
