IGEA MARINA,RIMINI TORRE PEDRERA
1.0,0.5
0.0,1.0
0.5,1.5
1.0,1.0
0.0,0.5
-0.5,0.5
6.0,4.5
2.5,2.5
0.0,0.5
0.0,1.0
0.0,0.5
7.0,6.5
31.0,32.5
32.0,32.0
9.5,9.5
4.5,5.0
7.5,7.0
5.0,4.0
1.0,1.5
11.5,11.0
21.0,21.0
1.0,1.0
7.0,6.0
0.0,0.5
0.0,0.5
1.5,0.5
3.0,2.0
1.5,0.5
-0.5,1.0
3.5,3.0
0.0,1.0
0.5,0.5
0.0,1.0
2.0,2.0
0.0,1.0
8.0,7.0
0.0,1.5
1.5,0.5
3.0,2.0
3.5,2.5
-0.5,1.5
-0.5,0.5
58.0,57.0
1.5,1.5
-0.5,1.0
1.0,1.0
1.5,1.0
0.0,0.5
3.0,2.5
1.0,1.5
1.5,1.5
0.5,0.5
8.5,8.0
19.5,18.5
0.5,1.0
5.5,4.0
1.0,0.5
0.0,0.5
3.0,2.5
0.0,0.5
0.5,2.0
4.0,3.5
4.0,3.5
3.0,2.5
0.0,0.5
20.5,20.0
0.5,1.0
2.0,2.5
-0.5,0.0
2.5,2.5
4.0,3.0
3.5,3.0
2.0,2.0
4.0,3.5
1.0,1.0
2.5,2.0
2.5,1.0
3.0,3.0
2.5,1.0
3.0,2.5
0.5,1.5
12.0,11.5
0.0,2.0
2.5,2.0
2.0,1.0
2.5,2.0
2.0,1.0
3.0,2.5
59.5,58.5
1.0,1.0
-0.5,1.0
1.0,1.0
0.5,0.5
0.0,1.0
7.5,6.5
2.0,1.0
2.0,1.0
0.5,1.5
1.5,1.0
5.5,4.5
0.0,1.5
1.0,0.5
0.5,1.0
2.5,2.0
2.5,1.5
3.5,3.0
1.0,1.5
5.0,5.0
1.0,1.5
1.5,1.5
0.0,0.0
0.5,2.0
19.0,18.5
0.0,0.5
7.5,7.0
1.0,1.0
3.0,2.0
0.5,0.5
4.0,3.0
6.5,5.5
1.5,1.5
3.5,2.0
