GENOVA P.PRINCIPE,GENOVA BRIGNOLE
1.0,5.5
7.0,8.0
-4.5,0.0
-4.0,-1.0
4.0,0.0
-5.5,-3.5
-5.0,-3.0
-3.5,-1.5
-4.0,-3.5
-6.0,0.0
3.5,1.5
20.5,19.5
0.0,0.5
3.5,3.0
-4.0,-1.0
-5.5,-1.0
1.0,-1.0
35.0,32.5
-1.5,-0.5
1.5,0.0
-5.0,-1.5
-0.5,-2.0
-0.5,0.0
-3.0,2.5
7.5,4.0
-4.0,-3.5
7.0,5.5
7.5,8.5
-1.0,-2.5
-2.0,-0.5
-0.5,0.0
6.5,4.5
8.0,6.0
3.5,2.5
-4.0,-3.5
-2.5,0.0
-3.5,1.0
-3.5,-1.5
-5.0,-3.0
-1.5,-2.5
-4.5,-3.5
5.0,3.0
-1.5,1.5
-0.5,0.0
-4.5,-3.5
15.5,11.5
0.5,0.5
-4.5,1.5
-2.0,-1.5
4.0,5.0
3.0,0.5
-3.5,-3.5
-2.0,-1.0
-3.0,-1.0
4.5,4.0
0.5,0.5
-3.0,-3.5
3.5,1.0
1.0,1.0
-5.0,0.0
-2.5,-2.0
0.0,0.5
3.5,4.0
-4.0,-2.0
-3.0,-2.5
-1.0,1.0
-2.5,4.5
-2.0,0.5
-2.5,-3.5
4.0,1.0
-5.5,0.0
-5.0,-1.0
9.5,8.0
-3.5,-2.0
-6.0,0.0
1.5,0.0
-4.0,-1.5
26.5,23.0
17.5,13.5
-0.5,-3.0
5.5,3.0
-1.5,-3.5
-1.0,3.0
1.5,4.0
-2.5,0.0
3.0,1.0
-4.5,-3.5
6.0,5.0
-4.0,-4.0
3.0,0.5
-4.0,-3.5
-5.5,-4.0
2.0,0.5
-2.0,0.0
2.5,14.5
-5.0,-3.5
-4.0,-1.5
-5.0,0.5
-3.5,-1.5
-1.5,1.0
2.5,1.5
-2.5,1.5
-1.5,-2.0
1.5,5.0
4.5,1.5
2.0,1.5
1.0,1.0
-2.5,-1.5
-2.5,-2.0
-3.5,-3.5
-1.5,-3.5
-1.5,-3.0
-4.5,-1.0
-2.0,-1.5
-0.5,-1.5
-3.5,-2.5
40.0,40.5
-2.5,3.0
-1.5,-2.5
