COLORNO,MEZZANI RONDANI
21.5,21.5
1.5,3.0
9.0,10.5
2.0,8.0
11.5,12.0
5.0,8.5
8.0,9.0
6.5,7.0
2.5,2.5
9.0,10.0
2.5,3.0
16.5,17.5
13.5,14.0
1.5,1.5
2.5,3.5
5.5,6.0
3.5,4.0
7.0,7.5
3.0,3.0
3.0,3.0
10.5,11.0
2.0,7.0
7.5,8.0
9.5,10.0
3.5,3.5
5.0,5.5
7.0,7.0
5.5,9.5
3.5,7.5
1.0,4.5
4.0,4.5
6.0,6.0
5.0,5.5
4.0,5.0
9.5,10.0
8.5,9.0
5.0,6.5
5.5,6.0
2.5,8.5
9.0,10.5
1.5,4.5
4.5,7.5
3.0,2.5
2.5,2.5
2.0,9.0
1.5,1.5
3.5,4.0
0.5,0.5
5.5,6.5
10.0,11.5
5.5,5.5
5.5,6.0
3.5,4.0
1.5,2.0
22.0,22.0
15.5,15.5
13.0,13.5
5.5,7.0
2.0,2.0
9.0,9.5
11.5,12.0
4.5,5.0
3.0,5.5
4.0,4.5
7.0,7.5
1.0,4.5
2.5,2.5
1.0,1.0
1.5,5.5
1.0,0.5
5.0,5.5
4.0,4.5
5.5,6.5
5.0,5.0
3.0,3.0
2.5,2.5
8.0,8.5
3.5,4.0
1.5,8.5
5.0,7.0
20.0,20.0
6.0,6.0
2.0,7.5
13.0,14.0
10.5,10.5
9.0,10.0
8.0,10.0
1.0,1.5
0.5,0.5
3.0,6.0
2.0,6.0
18.5,18.5
10.0,10.5
2.0,2.0
3.0,3.0
8.0,12.5
6.0,6.5
4.0,9.5
1.0,1.0
2.0,6.5
4.5,5.0
8.0,8.5
7.5,8.5
4.0,8.0
2.5,5.5
8.0,8.5
3.0,16.5
7.0,11.0
7.5,7.5
3.0,3.5
5.0,5.0
2.5,14.5
24.5,25.0
8.0,8.5
6.5,11.0
2.5,2.5
2.0,5.5
2.0,2.0
7.5,8.0
9.0,9.5
8.0,8.0
2.0,6.5
3.5,6.0
3.0,4.0
25.5,25.5
3.0,3.0
10.5,16.5
1.0,1.0
3.0,4.0
1.5,1.5
11.5,12.0
13.0,13.0
7.5,8.0
3.0,3.5
5.5,6.5
8.0,8.5
2.0,7.0
2.5,2.5
7.5,8.0
35.5,35.5
3.5,5.0
2.5,3.0
7.5,8.0
7.0,7.5
9.5,10.0
5.5,6.0
2.5,7.5
5.0,5.0
3.0,3.0
