VENEZIA MESTRE,VENEZIA SANTA LUCIA
19.5,18.0
-7.5,-5.5
13.5,10.5
37.0,36.0
-8.5,1.0
0.5,3.5
1.5,0.0
3.5,4.5
16.5,16.0
141.5,140.0
-4.5,-3.0
-2.5,-2.0
-9.0,-3.0
-5.5,1.0
-7.5,-4.5
-1.5,-2.0
-3.5,0.5
7.5,5.0
24.5,22.5
-7.5,1.5
11.5,8.5
1.0,-1.0
3.5,1.5
-1.5,1.0
-7.0,-7.5
2.0,1.0
0.0,3.5
-8.5,-3.5
-3.0,-0.5
2.0,1.0
25.5,26.5
0.5,1.0
-3.0,-0.5
52.5,53.0
-0.5,0.0
-6.0,-4.0
23.0,24.5
-7.5,-5.0
-5.0,-0.5
-7.5,-2.0
-1.0,0.0
16.5,18.0
88.0,90.0
5.5,6.5
-3.5,-3.0
4.0,2.0
6.0,4.5
-9.5,-4.0
-9.0,-7.5
64.5,70.5
0.5,0.0
0.0,-0.5
11.5,16.0
4.0,2.0
-2.0,4.0
-9.0,-4.5
4.5,3.5
38.5,38.5
1.5,0.0
-5.5,-1.0
0.5,0.0
-2.5,-4.0
8.5,6.0
-1.0,1.0
3.5,2.0
-3.0,-2.0
8.0,7.5
7.5,8.0
7.5,6.0
39.5,37.5
-1.5,2.5
-8.5,-5.0
3.0,5.5
2.0,7.5
9.5,6.0
-1.0,2.0
4.0,2.5
-8.5,-5.0
1.0,0.0
-3.0,-5.0
-3.0,0.5
-8.5,-4.5
-4.5,-4.5
0.5,-1.5
-8.5,-9.0
4.0,11.5
-9.0,1.0
5.0,3.0
-2.5,-1.5
8.0,10.5
77.0,84.5
-7.5,-8.5
-6.0,-2.5
0.5,-2.0
-1.5,-1.5
6.5,4.0
-5.5,-0.5
18.0,20.5
-3.0,-4.5
0.0,1.5
24.5,34.5
17.5,19.0
-2.0,-1.0
-3.0,-2.0
-7.0,-5.0
-1.5,4.0
-3.5,-2.5
6.5,4.5
0.0,1.0
-10.0,-2.5
-1.5,1.5
3.0,1.0
-8.5,-1.0
20.5,21.0
-6.0,-4.5
-9.0,-7.5
1.0,1.0
2.0,1.5
1.5,0.0
-3.0,-2.5
89.0,89.5
-2.0,-2.0
47.0,44.0
14.0,11.0
-3.0,-2.0
7.0,8.5
-9.0,-6.0
-2.5,-4.5
3.5,3.0
4.0,5.0
14.0,12.0
-7.0,-4.5
53.5,55.0
5.0,4.0
10.0,8.5
-6.5,-6.0
-3.0,1.5
-2.5,-1.0
23.0,20.0
63.0,62.0
-8.5,-2.5
-8.0,-10.0
1.5,5.5
8.0,8.0
-1.0,3.5
24.5,25.0
130.5,138.5
5.0,3.0
8.5,6.5
-2.0,-3.0
7.0,4.0
0.0,2.0
-2.0,-3.0
-4.5,-5.5
0.5,10.0
20.5,21.0
-10.0,-3.5
19.5,18.0
-5.0,-2.5
18.5,18.5
58.0,60.0
1.0,-1.5
19.0,16.5
-9.0,-4.0
-9.0,-3.0
17.0,17.5
40.0,40.0
85.0,85.0
-6.5,-1.5
1.0,0.0
12.5,12.5
-5.5,-5.0
-1.0,1.5
-4.5,-2.5
-2.0,-3.5
54.5,53.5
10.0,9.5
7.5,5.5
3.5,2.0
1.5,0.5
0.5,-1.0
