SENIGALLIA,FANO
-2.0,0.0
-3.5,-0.5
15.0,15.5
-2.0,-0.5
-2.5,0.5
-2.0,-1.5
243.5,244.5
2.0,1.5
-1.5,-0.5
1.5,0.5
1.0,0.0
-0.5,1.5
0.5,-0.5
0.5,0.5
-0.5,1.0
17.5,18.0
-1.0,-1.0
-1.0,0.5
-1.0,0.5
1.0,-0.5
-1.5,0.5
2.0,1.5
2.5,2.0
-1.0,1.0
5.5,6.0
-1.5,0.5
-2.0,0.5
-1.5,-0.5
-2.5,2.5
7.0,6.0
-0.5,1.0
2.5,3.0
2.0,2.5
-2.0,0.0
-0.5,1.5
4.5,4.0
-2.0,-0.5
-1.5,-0.5
6.5,8.5
1.0,0.5
-2.0,-1.0
-0.5,-1.5
14.0,13.0
0.0,-1.0
-2.0,-1.0
10.5,9.5
-1.0,-0.5
1.0,0.5
-1.5,-0.5
7.0,7.0
-1.5,-1.0
-2.5,1.0
-2.0,-0.5
1.5,0.5
1.5,0.5
-2.5,-0.5
2.0,1.5
-0.5,0.0
3.0,1.5
8.0,10.5
-0.5,3.0
1.0,0.0
-2.5,-1.5
-1.5,1.5
-3.0,21.0
0.5,0.5
8.5,9.0
-0.5,1.5
0.0,-1.5
2.5,2.5
-1.5,0.0
-3.0,-0.5
1.5,1.5
-0.5,0.5
-3.0,0.0
0.5,-0.5
-3.5,-1.0
0.5,9.0
4.5,3.0
-0.5,1.5
1.0,1.0
1.5,1.0
-2.5,0.0
2.0,1.5
-1.0,-1.0
0.0,2.5
3.5,4.0
8.5,6.5
3.0,3.5
0.0,-1.0
0.0,-1.0
-1.5,-1.0
4.5,3.0
7.5,7.5
-1.5,0.0
9.5,9.5
-1.5,-1.0
-1.0,-1.0
1.5,2.5
-1.5,-0.5
-2.5,-0.5
37.0,36.0
-2.5,2.0
0.0,0.0
4.5,11.5
44.0,42.0
26.0,25.5
-3.0,-1.0
1.5,-0.5
-2.0,-1.0
6.0,11.0
22.0,22.5
53.0,52.0
47.5,53.5
-0.5,1.5
-1.5,0.0
1.0,0.5
-2.5,0.5
2.0,1.0
0.0,-0.5
-1.5,-1.0
3.5,2.5
7.5,7.5
3.0,2.0
-1.5,0.0
-3.0,-1.0
8.5,9.0
3.5,3.0
-1.0,-1.0
1.0,0.0
-2.5,0.0
0.0,4.0
-3.0,-1.0
0.0,0.0
-0.5,2.5
0.0,1.0
15.5,16.0
-2.0,0.0
-1.0,-1.0
0.0,0.5
