S.PIETRO IN CASALE,BOLOGNA C.LE
4.5,2.5
11.0,12.0
1.5,-2.0
10.0,6.0
7.0,5.0
15.0,12.0
0.5,0.0
2.0,0.5
1.5,1.0
0.0,-1.5
1.5,0.5
2.5,-1.0
1.0,-0.5
5.0,3.5
0.5,-1.5
1.0,0.0
3.0,5.0
3.5,2.5
3.0,2.5
6.0,5.0
4.5,0.0
3.0,1.0
2.0,0.5
6.5,4.5
1.5,-1.0
2.0,1.5
4.0,2.5
3.0,3.5
8.5,6.5
2.0,1.5
35.5,35.5
1.0,-1.0
2.0,-0.5
3.0,1.5
26.0,36.0
3.0,3.5
32.0,29.0
8.0,7.0
3.5,2.0
2.5,0.0
3.5,1.5
5.0,8.0
1.5,0.0
5.0,3.0
3.0,4.0
9.5,9.0
3.5,4.0
1.5,0.0
1.5,-1.0
8.5,11.0
1.0,-0.5
7.5,2.5
1.5,-1.0
2.5,5.0
1.0,0.5
1.0,-1.0
2.0,0.5
11.0,9.5
120.0,117.5
6.5,3.0
2.0,3.5
2.0,0.0
1.5,2.5
2.0,0.5
4.5,1.0
9.0,4.5
5.5,4.0
6.5,6.0
0.5,-1.0
2.5,2.0
7.0,6.5
1.5,1.0
4.0,6.0
3.0,3.0
2.5,2.0
4.0,3.0
0.5,0.5
6.5,4.5
2.0,1.5
0.5,-0.5
6.0,5.0
1.5,-2.5
2.0,4.0
2.5,-2.0
1.0,-0.5
0.5,-2.0
4.5,5.5
0.0,-1.0
2.5,-0.5
2.0,3.0
3.0,3.0
3.0,4.5
0.5,1.5
1.0,1.0
3.0,2.5
2.5,3.0
6.0,3.5
3.0,0.5
5.0,4.0
4.0,2.0
2.0,2.0
1.5,1.0
0.0,0.0
4.0,4.5
0.5,-0.5
1.0,2.5
0.0,-1.5
1.0,-1.0
0.5,-0.5
0.0,-1.5
3.0,1.5
1.0,2.0
2.0,-0.5
0.0,0.0
0.0,3.0
0.0,-1.0
0.5,-0.5
0.5,-1.5
0.5,1.0
-0.5,-1.5
6.0,2.0
2.0,1.0
0.0,-1.5
0.0,-3.0
0.0,-2.5
2.0,-0.5
7.5,7.5
3.5,3.0
2.0,0.0
3.5,1.0
3.5,2.0
8.5,4.0
6.5,4.0
2.0,0.0
2.5,1.5
1.0,-0.5
7.5,4.5
2.5,0.5
11.0,9.5
2.0,6.5
4.5,3.0
1.5,-0.5
6.5,4.5
0.5,-0.5
1.0,-0.5
3.5,0.5
3.0,1.0
2.5,-2.0
7.5,6.5
1.5,-0.5
1.5,3.5
1.5,0.0
10.0,8.5
1.5,-0.5
1.0,-2.5
5.5,1.5
10.0,9.0
4.0,4.0
2.5,0.5
1.0,-1.5
2.0,1.0
2.5,1.0
8.0,3.0
2.0,0.5
0.0,-1.5
4.5,6.0
1.0,-1.0
3.5,3.5
12.0,9.5
2.0,0.0
1.0,-1.0
2.0,-1.0
1.0,-0.5
7.5,6.0
1.5,0.5
6.0,3.0
8.5,5.5
5.5,3.5
2.5,0.5
1.0,-0.5
2.0,0.0
2.5,1.5
-0.5,-1.5
1.5,0.5
6.0,0.5
16.0,14.0
2.5,1.5
10.0,8.0
-0.5,-3.5
0.0,-1.0
0.0,-2.0
0.0,-1.5
12.0,7.0
1.0,-1.0
1.0,0.0
5.0,5.5
0.5,-1.0
2.5,0.0
