GONZAGA-REGGIOLO,VILLANOVA DI REGGIOLO
8.5,9.5
7.0,7.5
10.5,11.0
85.5,86.5
2.5,3.5
4.5,10.0
1.0,2.0
2.0,3.0
1.0,3.0
4.5,5.5
2.0,3.5
3.5,5.0
3.0,4.5
1.0,2.0
2.0,3.5
1.5,1.5
2.0,3.0
0.5,1.0
3.0,4.0
3.5,5.0
1.0,6.5
4.0,5.0
0.0,0.5
3.5,4.5
1.0,2.0
6.0,6.5
4.0,6.0
-0.5,0.5
9.0,10.5
1.0,7.5
0.5,1.5
3.0,9.0
2.5,4.0
2.5,3.5
0.0,0.5
1.0,1.5
1.5,3.0
0.0,0.5
0.5,1.0
1.5,2.5
1.5,2.5
2.5,4.0
2.5,4.0
1.0,1.5
0.5,2.0
1.5,3.0
22.0,24.0
11.5,15.5
8.5,10.0
5.5,6.5
2.0,3.0
10.5,27.5
54.0,71.0
3.0,3.5
3.0,6.0
2.0,3.0
9.5,11.5
0.5,1.5
1.0,3.0
2.0,3.0
2.0,3.0
3.0,4.0
2.0,3.5
4.5,7.5
25.5,26.5
5.0,5.5
5.0,6.5
2.0,4.0
6.0,6.5
4.5,5.5
1.5,3.0
1.5,2.0
3.0,4.0
5.0,6.0
2.5,3.5
5.5,6.5
0.0,1.5
5.0,6.5
0.5,1.5
1.0,5.5
6.5,7.5
2.0,3.0
0.5,1.5
9.0,10.0
3.0,4.0
0.0,1.0
2.0,3.5
0.5,1.0
2.0,4.0
2.0,3.0
0.0,0.5
3.5,4.5
1.0,1.5
20.5,22.0
3.0,5.0
10.0,10.5
21.5,22.5
1.0,2.0
3.5,4.0
4.5,6.0
1.5,2.5
7.0,8.5
4.5,6.0
4.0,5.0
9.5,11.0
5.5,6.5
2.0,3.5
0.5,1.5
0.5,1.5
2.0,3.0
1.0,2.5
1.5,2.0
48.5,49.0
1.0,1.5
0.0,1.0
2.0,2.5
4.5,5.0
1.0,2.0
0.5,1.0
3.0,4.5
11.5,14.5
6.5,7.0
2.5,3.0
3.5,4.5
0.5,2.5
6.5,7.0
5.5,6.0
1.5,1.5
2.5,3.5
8.0,9.0
0.5,1.5
8.5,10.5
9.5,11.5
4.0,4.5
7.5,8.5
0.0,0.5
1.5,2.5
3.5,7.5
55.5,56.5
-1.5,0.5
0.0,1.0
0.5,1.0
17.0,17.5
-0.5,0.0
1.5,2.0
11.5,12.5
1.0,2.5
6.0,6.5
8.5,9.5
0.0,1.0
2.0,3.0
7.0,7.5
1.0,2.5
3.5,3.5
6.0,7.0
0.5,1.5
0.5,1.5
9.5,10.0
1.5,3.5
2.0,3.0
2.0,3.5
0.0,1.0
-0.5,1.0
0.0,1.0
0.5,1.5
3.5,7.0
0.5,1.5
5.0,6.0
5.5,8.0
4.0,5.0
48.5,49.0
86.0,90.5
2.0,3.0
1.5,2.0
7.5,8.5
7.0,8.0
19.0,19.5
1.5,1.5
17.5,18.5
0.5,1.5
1.5,2.5
2.0,2.5
2.0,2.5
2.5,3.0
1.5,2.5
4.0,5.5
3.5,5.0
0.5,1.0
4.5,5.5
2.5,3.5
6.0,7.5
2.5,3.5
1.5,2.5
6.5,8.0
0.0,1.0
3.0,5.5
3.0,4.0
3.0,4.5
3.0,4.0
3.5,4.0
1.5,4.0
1.0,2.5
0.5,1.0
0.5,2.5
1.5,3.0
1.5,2.5
0.0,1.0
-1.0,0.5
3.5,5.0
1.5,2.5
0.0,0.5
22.5,24.0
5.0,6.5
0.0,1.0
5.0,6.0
1.0,2.0
2.5,3.5
8.5,9.0
0.5,1.0
0.5,1.0
4.0,4.5
1.0,2.0
2.0,3.5
6.0,7.5
0.5,1.5
1.0,2.0
0.0,1.0
-0.5,1.0
2.5,4.0
0.5,1.0
0.5,1.5
0.5,1.0
7.0,7.5
8.0,8.5
8.0,8.5
5.5,6.5
2.0,5.0
2.0,3.5
0.0,1.0
1.5,2.5
4.0,4.5
4.5,5.5
3.5,5.0
1.0,2.0
1.5,3.0
1.5,2.0
3.0,3.5
1.0,3.0
1.5,2.5
6.0,7.0
2.0,3.0
0.5,1.0
0.5,1.5
4.5,6.0
3.5,5.0
3.0,3.5
5.5,7.0
1.0,2.0
0.5,1.5
2.5,4.0
2.5,3.5
2.5,4.0
0.5,1.0
1.5,2.5
0.5,1.0
1.0,2.0
2.5,4.0
3.0,4.0
2.5,4.0
0.0,1.0
4.5,6.0
4.5,5.5
6.0,7.0
2.0,3.5
13.0,13.0
5.5,6.5
1.0,2.5
2.5,3.5
0.5,1.5
2.0,3.0
5.5,6.5
8.0,8.5
7.5,9.0
1.5,2.5
5.0,6.5
1.0,1.5
0.0,1.0
0.5,2.0
2.5,4.0
0.0,2.0
5.5,7.0
1.5,3.0
2.0,3.0
0.5,2.0
0.0,1.0
1.0,1.5
2.0,3.5
2.0,3.5
6.5,12.0
7.0,8.0
3.0,4.0
0.0,1.0
1.5,2.5
4.5,5.5
3.5,4.5
4.5,6.0
1.0,2.5
1.0,5.5
1.5,4.5
9.5,10.5
-0.5,0.5
1.5,2.0
1.5,2.0
5.0,11.0
3.0,4.5
8.0,9.0
2.5,4.0
8.0,9.0
2.5,3.5
7.0,7.5
5.5,6.5
2.0,3.0
1.5,3.0
