RAVENNA,GODO
-0.5,0.5
-1.0,1.0
-2.0,5.0
28.5,29.0
-0.5,5.0
-2.5,4.5
-2.0,6.0
5.5,7.5
3.5,1.0
-2.0,3.5
1.5,7.0
-0.5,5.0
4.0,4.0
2.5,3.0
0.5,4.0
-2.5,6.0
2.5,4.0
-1.0,1.5
-2.0,3.0
6.0,6.0
-1.0,4.0
1.0,5.5
-2.0,6.5
3.5,5.5
0.0,4.0
-2.0,3.5
-2.0,4.5
6.5,7.5
-0.5,2.5
-2.5,6.5
3.5,4.0
1.5,3.5
-2.0,5.5
6.5,14.0
-2.5,5.0
1.5,3.0
-1.5,2.0
-3.0,4.0
0.5,5.5
-0.5,5.5
-2.0,5.0
4.0,4.0
3.5,1.5
-2.0,5.5
3.5,4.0
-1.0,1.5
-2.5,6.0
6.5,7.0
0.5,2.0
-3.5,5.0
5.5,9.5
0.0,6.0
-2.5,6.0
3.0,4.0
3.5,1.5
-1.5,6.0
4.0,22.5
0.0,6.5
-2.0,5.0
7.0,7.5
1.5,2.5
-2.5,7.5
6.0,5.0
-1.0,7.5
-2.5,3.0
7.0,9.0
-1.0,6.5
-1.5,5.5
12.5,14.5
-1.0,2.5
-2.0,5.5
3.0,3.0
-0.5,1.5
-1.5,6.0
8.0,8.5
-1.0,2.0
17.0,15.0
3.5,6.0
-0.5,1.5
-2.0,3.0
1.5,2.0
-1.0,1.5
-2.5,4.0
2.5,4.0
2.0,4.0
-1.0,5.5
3.5,4.0
-0.5,2.0
-3.0,4.5
5.0,6.0
-1.0,6.5
1.5,2.5
-0.5,3.0
-3.0,6.5
5.0,5.5
1.0,2.5
-2.0,3.0
1.5,10.5
-1.5,1.5
-2.0,5.5
-2.0,5.5
12.5,16.0
10.5,2.0
-2.0,5.5
-2.5,4.0
1.5,4.0
-0.5,1.0
-2.0,7.0
2.0,3.5
-1.0,7.5
-3.0,4.5
-1.5,5.5
6.0,7.0
-1.0,5.0
-1.5,5.5
2.0,6.5
-1.0,2.5
-2.5,6.0
1.5,2.5
