BARI CENTRALE,GIOIA DEL COLLE
5.0,1.0
20.5,17.0
-3.0,5.0
23.0,22.5
40.5,40.0
4.5,7.0
7.0,5.0
12.0,9.0
8.0,4.5
3.0,2.5
3.0,-0.5
-3.5,6.0
7.5,3.5
15.5,24.0
15.0,16.5
-1.5,0.5
14.5,17.5
5.5,6.0
15.0,17.0
34.0,34.0
-3.0,1.5
3.5,9.0
3.5,20.0
21.5,22.5
3.0,1.0
-0.5,1.0
39.0,45.0
0.0,13.0
90.5,85.5
35.5,43.0
-1.5,2.0
6.5,1.5
-3.5,0.5
4.0,5.5
-2.0,-0.5
36.5,42.0
-1.0,2.5
-2.5,0.0
13.5,12.0
6.5,3.0
12.5,12.0
1.5,-0.5
-5.5,3.5
-2.0,-1.0
-0.5,-1.0
4.0,4.5
5.5,7.0
8.5,11.5
67.0,73.0
-2.0,-1.5
4.0,2.0
-3.5,0.5
-2.5,-2.0
-1.0,-1.0
26.5,33.5
19.5,21.5
-3.0,2.0
-3.0,-1.0
1.0,1.5
16.5,15.0
53.0,55.5
30.0,25.0
5.0,5.0
26.0,27.0
72.0,71.0
13.0,8.0
-1.5,0.5
14.0,10.5
9.5,8.0
-3.0,2.0
57.0,71.5
26.5,29.5
26.5,44.0
-3.0,-1.0
19.0,18.0
2.0,6.5
0.0,0.5
64.0,64.0
44.0,51.5
-2.5,3.5
3.5,4.0
-4.0,0.5
6.0,8.0
-0.5,2.5
18.5,20.5
110.5,113.5
26.5,35.5
-3.5,-0.5
1.5,0.5
12.5,9.5
13.0,13.0
30.5,33.5
-3.0,4.0
0.5,2.0
-0.5,-1.5
6.0,5.5
12.0,9.0
13.5,15.0
16.0,17.0
-2.0,2.0
17.5,21.0
6.0,6.0
-1.5,4.5
31.0,27.5
22.0,17.0
12.5,13.0
12.5,13.0
12.5,11.0
2.5,7.5
-2.0,-2.5
2.0,-0.5
16.5,17.0
-3.0,0.0
5.5,5.5
24.0,26.0
0.0,4.5
-2.0,-0.5
-3.0,-0.5
58.0,58.5
-3.5,1.5
-1.0,0.5
7.0,5.0
3.0,3.5
7.5,9.5
18.0,15.0
9.5,6.5
-3.0,-0.5
8.5,10.0
