VOGHERA,STRADELLA
23.0,20.5
1.5,1.0
2.0,-1.5
53.0,54.5
1.5,1.0
1.0,-3.0
1.0,-3.0
1.5,-2.5
1.5,1.5
2.5,-1.5
2.0,-2.0
1.0,0.0
1.0,-2.5
1.0,-0.5
11.5,8.5
1.0,-3.0
2.0,0.0
1.5,3.5
1.5,-2.0
1.5,-1.5
1.0,-3.0
1.0,14.5
2.0,-0.5
1.5,0.0
1.5,-2.5
1.5,-1.0
21.5,21.5
1.5,-1.5
1.5,-2.0
21.0,28.0
1.0,-2.0
1.0,-2.5
1.0,-3.0
1.5,0.0
1.5,-0.5
2.5,0.0
1.5,-1.0
1.5,-1.5
4.5,1.5
1.0,-2.5
2.0,-0.5
2.0,2.5
1.0,-2.0
1.5,-1.0
1.0,-2.5
1.0,-1.0
1.5,0.0
1.5,2.0
1.5,-3.0
2.0,1.0
2.0,0.0
2.0,-1.0
1.5,-2.0
2.0,-2.0
1.5,23.0
1.0,-0.5
2.0,-2.5
1.0,-0.5
1.5,11.0
1.5,0.0
2.0,0.0
1.5,0.0
1.5,-2.5
1.5,-1.5
1.5,-1.5
1.5,-1.5
1.5,-3.0
1.0,-3.0
1.5,-2.5
2.5,0.5
2.0,-1.5
1.5,-0.5
1.5,-2.0
1.5,-1.5
1.5,1.0
2.0,-0.5
2.5,-1.5
1.5,-1.5
8.0,9.0
1.0,-3.0
35.5,47.0
2.5,-0.5
1.5,-0.5
3.0,2.0
1.5,-0.5
2.0,-0.5
39.0,40.5
1.0,0.0
1.5,-1.5
2.0,-2.0
2.5,0.5
2.0,-1.5
1.5,-1.5
1.5,-0.5
1.0,-2.0
2.0,1.0
3.0,1.5
2.0,0.0
2.5,0.5
2.0,-1.5
1.5,-2.0
1.5,-2.5
1.5,-1.5
1.5,-1.0
1.0,-2.5
1.5,-1.5
1.5,0.0
1.5,-1.5
11.0,23.5
1.5,-0.5
2.0,0.0
1.0,-0.5
1.0,-3.0
1.5,-3.0
1.5,0.0
1.5,0.0
2.0,-1.0
1.0,1.0
1.0,-1.0
2.0,0.0
1.0,11.5
1.5,-0.5
1.5,-2.0
3.5,2.0
1.5,-0.5
2.0,0.5
1.5,-1.0
2.0,-1.5
2.5,-1.0
1.0,-1.5
13.0,19.0
1.5,-1.0
1.0,-1.0
1.5,-1.0
1.5,0.0
6.0,6.0
1.5,-3.5
1.0,-2.0
1.5,-2.5
1.0,-2.5
1.0,2.0
3.5,0.0
1.5,-2.5
1.0,-2.0
1.5,-0.5
2.0,-2.0
15.0,12.0
1.5,-1.0
1.0,-2.5
