CASTEL D`ARIO,BONFERRARO
1.5,-3.0
-0.5,-3.5
0.0,-3.5
0.5,-3.0
-0.5,-4.0
0.5,-3.5
-1.0,-3.5
0.5,-3.0
2.0,-3.5
2.5,-3.0
4.5,-1.0
0.0,-3.5
2.5,-3.0
-0.5,-3.5
1.5,-3.0
-0.5,-3.5
-0.5,-4.0
1.0,-3.5
3.0,-2.0
-0.5,-3.5
1.0,-3.5
2.0,-2.5
2.5,-2.5
-1.0,-3.5
0.5,-3.5
5.0,-0.5
3.0,-2.5
0.5,-3.5
3.0,-2.5
2.0,-2.0
1.0,-3.5
0.5,-3.5
1.5,-4.0
1.0,-3.0
0.0,-3.0
7.5,0.5
2.0,-3.5
-0.5,-3.5
1.0,-3.5
1.5,-4.0
6.5,0.5
3.0,1.5
0.0,-3.5
1.5,-4.0
1.5,-3.0
-0.5,-3.5
-0.5,-3.5
-0.5,-3.0
1.0,-3.0
0.0,-4.0
2.0,-3.5
0.5,-3.5
-1.0,-4.0
-0.5,-3.5
0.0,-3.5
2.0,-4.0
0.0,-4.0
0.0,-3.0
1.5,-1.0
9.5,3.0
-0.5,-3.5
1.5,-2.5
-0.5,-3.5
1.0,-3.5
3.5,44.0
0.0,-0.5
-0.5,-4.0
1.5,-3.5
2.5,-2.5
-0.5,-3.5
22.5,17.5
3.0,-2.5
0.5,-3.5
-0.5,-3.5
0.5,-3.5
1.0,-4.0
2.5,-3.0
3.0,-3.5
1.0,-3.5
1.0,-4.0
1.5,-3.0
1.0,-3.5
1.0,-3.5
1.5,-3.0
1.0,-3.5
2.5,-3.5
2.0,-3.0
0.5,-4.0
3.5,-2.0
0.0,-3.5
1.0,-3.5
0.0,-3.5
0.5,-3.5
9.0,3.0
-0.5,-3.0
0.5,-3.0
-0.5,-4.5
0.0,-3.0
5.5,-0.5
-1.0,-4.0
-1.0,-3.5
2.0,-3.0
1.5,-3.0
2.5,-3.0
11.5,4.5
0.0,-3.5
-1.0,-4.5
8.0,2.0
-0.5,-3.5
-1.0,-3.0
2.5,-2.5
0.5,-3.5
1.0,-3.5
-1.0,-3.5
0.5,-4.0
2.0,-3.0
0.0,-3.5
15.5,8.0
0.5,-3.5
-1.5,-3.5
1.0,-3.0
0.0,-3.0
-1.0,-2.0
1.0,-4.0
6.5,0.5
4.0,-1.5
2.0,-3.5
