TORINO LINGOTTO,TORINO P.NUOVA
-1.0,0.0
7.0,6.0
20.0,18.0
1.0,4.5
23.5,25.0
-0.5,2.0
-4.5,1.0
41.0,41.5
9.0,7.5
4.5,6.0
-4.5,1.5
-2.5,1.5
11.0,10.5
5.5,6.0
10.5,12.5
0.0,2.5
9.5,19.5
31.0,30.0
22.5,21.0
-2.5,5.0
15.0,14.5
-5.0,1.0
2.0,1.5
24.5,22.5
-1.0,1.5
16.5,15.5
68.5,73.0
-5.0,-0.5
4.5,4.5
11.0,9.0
12.0,14.0
15.5,15.5
-0.5,0.0
-1.5,4.0
12.0,11.0
-4.0,1.0
26.0,25.0
12.5,14.0
-3.5,0.5
5.5,5.0
22.5,20.5
-4.0,-3.0
20.5,19.5
12.5,12.0
8.5,7.5
17.5,19.0
-2.0,-1.0
1.5,3.5
7.5,6.5
16.0,15.0
27.5,26.0
-6.0,-5.5
83.5,83.0
6.5,5.5
0.5,2.0
0.5,3.5
