FIRENZE CAMPO MARTE,AREZZO
4.5,23.0
3.5,4.5
-1.0,-0.5
6.5,3.5
12.0,25.5
12.5,20.0
2.5,0.0
16.0,17.0
19.0,22.0
8.5,27.5
16.5,20.5
-0.5,-1.5
15.5,12.0
1.0,1.0
17.5,22.5
51.5,61.5
2.5,4.0
1.0,2.0
12.0,23.0
15.0,19.5
31.0,37.5
2.5,4.0
19.5,24.5
14.0,23.0
1.0,2.0
11.5,27.5
5.0,8.5
12.5,23.0
3.0,2.5
11.0,13.0
6.0,2.5
17.5,21.0
59.0,88.0
5.0,2.5
93.5,99.0
-2.0,1.0
6.0,51.0
25.5,24.0
-2.0,0.0
25.0,43.0
37.0,54.5
6.0,10.5
2.5,7.5
23.5,26.5
125.5,130.0
1.5,3.0
24.5,23.0
4.5,5.0
4.0,4.5
14.0,42.0
17.5,20.5
16.0,27.5
30.0,40.5
33.0,33.5
3.0,1.0
8.5,7.5
5.0,5.5
3.5,-0.5
0.5,-1.5
4.5,5.0
10.5,22.5
4.0,5.0
4.0,5.5
5.0,3.0
17.0,25.0
31.5,34.5
17.0,25.5
10.0,25.5
22.0,24.5
3.0,14.5
4.5,9.5
7.0,6.5
5.0,2.5
2.5,6.0
20.0,20.5
8.0,5.5
40.5,55.0
17.5,22.0
20.0,23.5
5.0,5.5
-0.5,-0.5
-0.5,7.0
40.5,67.0
2.0,4.5
5.0,8.0
5.5,4.0
0.0,-0.5
0.5,2.0
0.0,2.0
24.5,25.0
6.5,6.0
162.5,160.0
4.0,0.0
4.0,10.0
1.5,4.5
7.5,5.5
3.0,2.0
9.5,12.0
87.0,100.5
13.5,15.0
7.5,6.5
34.0,68.5
14.0,14.0
5.0,1.5
-1.0,1.0
9.0,21.5
-1.0,5.5
5.5,3.0
6.5,5.0
6.5,4.0
9.0,14.0
13.0,9.0
12.0,14.0
21.5,23.0
53.5,62.0
7.0,8.0
11.5,18.5
22.0,45.0
4.5,3.0
12.5,27.0
6.5,4.0
0.0,3.0
2.0,1.0
-2.5,3.0
20.0,44.0
2.5,6.5
27.0,37.5
4.0,2.5
5.5,6.5
9.5,15.5
4.5,9.0
6.0,5.0
55.0,68.5
4.0,0.0
5.0,7.5
