GRIZZANA,MONZUNO
0.0,-1.0
-0.5,0.0
-2.0,-1.0
0.5,0.5
-1.0,-1.0
5.0,4.0
-0.5,0.0
0.0,2.0
-0.5,-0.5
1.0,1.0
0.0,0.5
0.0,-0.5
0.0,-1.0
0.0,0.5
2.5,2.5
-1.0,0.0
-1.0,-1.0
-2.0,-2.0
0.5,0.5
1.0,0.5
-1.0,-0.5
-0.5,0.5
-1.5,-1.0
0.5,0.0
-2.0,-1.5
-1.0,-1.0
-0.5,-0.5
-2.0,-1.5
-1.0,-1.0
0.5,0.0
0.0,-1.0
0.0,-0.5
0.0,0.0
-0.5,-1.5
-1.0,0.0
0.0,0.0
-1.0,-1.0
-1.0,-0.5
-2.0,-1.5
-1.0,-0.5
1.5,1.0
-0.5,-1.0
-1.0,-0.5
-0.5,0.0
0.0,-0.5
-1.0,-0.5
2.0,2.5
-2.0,-2.0
-0.5,-1.5
-0.5,-1.0
-0.5,-1.0
-1.0,-0.5
-1.5,-1.0
-0.5,-1.0
1.0,1.0
6.0,6.0
1.5,1.5
0.0,0.0
6.0,6.0
2.0,1.5
-0.5,0.0
8.0,9.5
-0.5,-1.0
-1.0,-1.0
0.5,0.5
1.0,1.0
0.0,0.0
6.0,5.5
-1.0,-1.0
14.5,14.0
4.5,4.0
0.0,-0.5
0.0,-0.5
2.0,1.5
-2.0,-1.5
0.0,-1.5
14.0,13.0
-1.0,-0.5
-1.5,-1.5
3.5,2.5
1.0,0.5
1.0,1.0
2.0,1.5
-0.5,-0.5
-1.0,0.0
1.0,0.0
-2.0,-2.0
-1.0,-1.5
2.5,2.0
0.0,-1.0
-1.0,-1.5
-1.0,-1.0
2.5,2.0
-1.0,-0.5
0.5,-0.5
3.0,4.0
-1.5,-1.0
3.0,2.0
0.0,-0.5
33.5,33.5
0.5,0.0
-1.0,-0.5
-0.5,1.0
-1.5,-1.5
0.0,-1.0
-1.0,-1.0
-1.5,-1.0
0.5,0.5
-0.5,-0.5
0.5,-0.5
1.5,0.5
-1.5,-1.0
-2.0,-1.5
-1.0,-0.5
-1.5,0.0
-1.0,-1.0
0.0,-0.5
1.0,1.5
-1.5,-1.5
-1.0,-0.5
1.0,1.0
0.5,-1.0
-1.0,-1.0
9.5,7.5
3.5,15.5
2.0,1.5
-1.0,-1.5
-1.0,-1.0
0.0,-0.5
-0.5,-0.5
-0.5,0.0
2.0,1.5
1.0,1.0
-1.0,-1.5
-2.0,-1.0
-0.5,-1.0
0.0,-0.5
3.0,2.5
-0.5,-0.5
1.0,2.0
1.5,0.5
-1.5,-1.0
-0.5,-1.0
-0.5,-1.5
-1.5,-1.5
-0.5,-0.5
0.0,-1.0
0.0,-1.0
