ZAMBRA,FIRENZE CASTELLO
-1.0,0.5
0.0,2.0
-2.0,-0.5
-0.5,0.0
-1.0,0.0
4.0,4.5
8.5,10.5
0.0,1.0
-0.5,0.5
2.0,3.0
-1.0,-0.5
2.5,3.0
3.0,3.5
-1.0,0.0
-0.5,0.0
-1.5,0.0
-1.0,-0.5
0.0,0.5
2.5,3.0
-2.0,0.0
0.0,0.5
-1.5,0.0
1.0,1.5
-1.5,-0.5
-2.0,0.5
-1.5,-0.5
0.0,0.5
-0.5,1.5
6.5,7.5
-0.5,0.0
7.5,9.5
1.0,3.0
-1.5,-0.5
-1.5,-0.5
0.0,1.0
0.5,1.5
-3.0,11.0
-0.5,2.0
0.0,1.0
7.5,8.5
-0.5,0.5
0.5,1.0
3.5,4.0
-1.0,-0.5
-1.0,0.5
-0.5,0.0
-1.5,0.0
-1.5,0.0
-1.5,0.0
-0.5,0.0
-0.5,0.5
0.5,1.0
-1.0,0.0
-1.0,0.0
1.5,2.0
2.5,3.0
1.0,2.0
1.0,4.0
0.0,1.0
-1.0,0.0
-0.5,3.5
-1.0,0.0
6.5,8.0
-1.0,1.5
6.0,6.5
2.0,3.0
-1.5,0.0
2.5,4.0
1.5,3.0
-1.0,0.0
-1.0,1.0
1.0,1.5
-1.0,-2.0
0.0,0.0
0.5,1.5
-1.0,-0.5
9.0,10.0
0.5,2.0
-1.5,0.5
4.5,5.0
-1.0,0.0
2.5,3.0
0.5,1.5
-1.5,0.0
1.0,1.5
-0.5,0.5
13.5,14.5
-1.0,0.0
3.0,4.0
-1.0,0.5
-0.5,0.0
4.0,4.0
-1.5,0.0
-2.0,-1.0
28.5,29.0
-0.5,0.5
-0.5,0.5
2.0,3.5
-1.0,-0.5
-1.0,0.0
-0.5,1.5
-1.0,0.0
-1.0,0.0
-1.0,-0.5
-1.5,0.5
1.0,2.0
1.0,1.5
-1.5,0.0
0.5,1.0
-1.0,0.0
-1.5,-1.0
0.0,1.0
-1.0,0.0
1.5,7.5
-1.0,-0.5
2.0,3.0
-1.0,0.5
0.0,1.0
-1.0,-0.5
-1.0,0.5
5.5,6.0
-2.0,-1.0
-1.0,-0.5
-1.5,0.0
4.0,5.0
-1.0,0.0
-1.5,0.0
-1.5,-0.5
16.5,17.0
-1.0,0.0
-0.5,0.0
10.0,11.0
-2.0,-0.5
-1.0,-0.5
-1.0,0.5
-1.0,0.5
-1.0,0.0
-0.5,0.5
-1.0,2.5
-1.5,-0.5
