ROMA TERMINI,NAPOLI AFRAGOLA
8.0,13.5
12.0,12.0
11.0,11.5
0.0,1.5
-1.0,1.5
3.0,3.0
6.0,5.5
3.0,6.5
2.0,4.0
4.0,3.0
3.0,-0.5
0.0,2.5
12.0,12.0
7.0,6.0
6.0,8.5
2.0,2.0
16.0,22.5
4.0,10.0
3.0,1.0
4.0,-2.0
125.0,143.0
12.0,12.0
10.0,7.0
5.0,4.0
12.0,10.5
30.0,40.0
6.0,21.0
14.0,16.0
9.0,10.0
2.0,1.0
12.0,7.5
0.0,0.5
11.0,6.5
396.0,433.0
335.0,322.5
5.0,3.0
-1.0,2.0
7.0,6.0
0.0,5.5
10.0,11.0
10.0,12.5
11.0,12.0
33.0,36.5
5.0,12.0
2.0,9.5
10.0,9.5
2.0,5.0
142.0,145.0
12.0,29.5
3.0,6.0
13.0,11.5
16.0,14.0
165.0,167.0
3.0,0.5
0.0,0.5
8.0,5.5
22.0,15.5
7.0,14.5
1.0,3.5
8.0,9.0
10.0,9.5
11.0,17.0
17.0,18.0
7.0,7.5
12.0,11.5
3.0,1.5
3.0,12.0
6.0,0.5
16.0,11.5
13.0,14.5
16.0,13.5
5.0,12.0
30.0,34.0
20.0,20.5
43.0,46.0
18.0,18.5
17.0,15.5
1.0,0.5
4.0,7.0
-1.0,0.5
7.0,1.0
15.0,9.5
8.0,4.0
-3.0,2.0
11.0,6.0
10.0,11.0
5.0,3.5
23.0,22.0
11.0,10.5
10.0,10.5
9.0,7.0
15.0,15.5
10.0,22.5
13.0,16.5
10.0,11.0
7.0,4.5
11.0,10.5
14.0,10.5
0.0,1.5
5.0,0.5
19.0,15.0
14.0,13.0
8.0,9.0
5.0,1.0
18.0,20.0
6.0,8.0
0.0,11.0
53.0,55.5
48.0,46.5
10.0,7.0
11.0,11.5
9.0,9.0
5.0,2.0
12.0,12.0
11.0,11.5
1.0,5.0
19.0,17.0
6.0,3.0
4.0,5.5
6.0,6.5
11.0,10.5
1.0,3.0
7.0,4.0
-1.0,1.5
29.0,26.5
20.0,32.0
7.0,3.5
8.0,5.0
2.0,-1.0
19.0,24.5
15.0,21.5
4.0,4.5
6.0,6.0
5.0,0.0
1.0,1.5
11.0,7.5
4.0,1.0
-2.0,4.5
1.0,3.5
9.0,8.5
11.0,8.0
-2.0,2.5
20.0,19.5
5.0,6.5
6.0,16.5
21.0,18.0
17.0,20.0
16.0,16.5
5.0,11.0
7.0,2.5
0.0,1.0
1.0,3.5
6.0,6.0
12.0,12.5
13.0,13.5
2.0,1.0
12.0,13.0
11.0,8.5
0.0,3.5
6.0,6.5
12.0,9.0
9.0,5.0
17.0,21.5
52.0,62.5
63.0,70.5
19.0,16.0
1.0,4.0
45.0,112.5
20.0,98.5
11.0,8.5
15.0,16.0
3.0,5.0
14.0,14.0
12.0,12.5
9.0,8.5
7.0,6.0
10.0,18.0
10.0,20.0
42.0,45.0
21.0,23.0
0.0,0.0
6.0,8.0
7.0,7.5
-1.0,11.0
3.0,3.0
7.0,6.0
-1.0,0.0
0.0,5.5
6.0,9.0
0.0,2.5
0.0,4.5
1.0,1.5
1.0,-0.5
3.0,-1.0
16.0,12.5
6.0,7.5
6.0,3.5
2.0,13.0
2.0,5.5
49.0,56.0
