FIRENZE CASTELLO,SESTO FIORENTINO
-1.5,-2.0
-1.0,-2.5
-2.0,-2.5
1.5,-0.5
-1.5,-2.5
-0.5,-2.5
10.0,8.5
-1.5,-3.0
0.5,-1.5
-1.0,-2.0
2.0,0.0
0.0,-1.5
3.0,1.5
-0.5,-1.0
0.0,-2.0
-1.5,-2.0
-1.5,-2.5
0.5,-2.0
-1.5,-2.5
5.5,3.0
0.0,-1.5
2.0,0.5
-1.0,-2.0
0.0,-2.5
0.0,-2.5
0.5,-0.5
2.0,0.5
-0.5,-2.5
-2.0,-3.0
-0.5,-2.0
-1.0,-2.5
10.5,8.5
-2.0,-3.0
3.0,1.0
-1.5,-4.0
0.0,-2.0
0.0,-2.0
-0.5,-2.0
1.0,-1.0
-1.0,-2.0
-1.5,-3.0
-1.5,-2.5
-1.5,-2.5
1.0,-0.5
-1.5,-2.5
-1.5,-2.5
-0.5,-1.0
-1.5,-2.0
-1.0,-2.0
-1.5,-3.0
-1.0,-2.5
2.0,-0.5
1.0,-2.0
0.5,-1.0
0.5,-2.0
0.5,-1.5
-1.0,-2.5
-1.0,-2.0
0.5,-1.0
-1.5,-3.0
0.0,-2.0
1.5,-1.5
0.5,-2.0
-1.0,0.5
-1.0,-2.0
-1.0,-2.5
-1.0,-2.0
0.5,-1.0
2.0,-0.5
1.0,0.5
0.0,-2.0
0.0,2.0
-0.5,-2.5
-0.5,-1.5
2.0,-0.5
1.0,-2.0
0.0,-2.0
0.0,-1.5
-1.5,-2.0
0.0,-1.5
0.5,-1.5
0.0,-2.0
1.5,-0.5
0.0,-1.5
0.0,-2.0
0.5,-1.0
-0.5,-2.5
-0.5,-2.5
2.5,0.0
0.5,-1.0
-1.0,-1.5
0.0,-1.0
0.0,-2.0
-1.0,-2.5
-0.5,-3.0
1.0,0.0
-1.0,-1.5
-0.5,-2.0
0.5,-1.5
5.5,3.0
-1.0,-3.0
1.0,-1.5
0.0,-2.0
-1.5,-2.5
4.0,2.0
-0.5,-2.5
-1.0,-3.0
1.5,-1.0
-1.0,-2.5
-0.5,-2.0
3.0,0.5
-0.5,-1.5
-1.0,6.5
0.5,0.0
-1.5,-2.5
-2.0,-2.5
3.5,1.0
-1.0,-2.5
-1.5,-2.5
0.0,-2.5
1.5,0.0
8.5,7.0
-0.5,-2.0
-1.0,-1.0
-1.0,-2.5
0.0,-2.5
-1.0,-3.0
1.5,0.5
1.0,-1.5
-0.5,-2.0
-1.5,-2.0
-0.5,-2.5
-1.0,-2.5
-1.0,-2.0
0.0,-0.5
0.0,-2.0
0.0,-2.0
4.5,2.5
-0.5,-1.0
-1.5,-2.5
0.5,-2.0
2.0,-1.0
3.0,0.0
-0.5,-2.0
-0.5,-2.5
0.0,3.0
-1.5,-2.5
0.5,-1.0
0.0,-1.5
-1.5,-3.0
-1.5,-2.0
-0.5,-2.5
20.5,17.5
0.5,-0.5
0.5,-2.5
-2.0,-2.5
0.0,-2.5
0.0,-2.5
-1.5,-3.5
0.5,-1.5
-1.0,-3.0
-0.5,-1.5
-1.0,-2.0
1.5,0.0
0.0,-1.0
1.5,-1.5
-2.0,-3.0
6.0,4.0
-1.0,-2.5
2.5,1.0
0.0,-2.0
-1.0,-2.0
0.0,-2.0
-2.0,-2.5
-0.5,-2.0
-1.0,-2.0
-1.5,-2.5
0.5,-2.0
-1.5,-2.5
0.5,-1.0
0.0,-2.0
2.5,2.0
-1.5,-2.5
