VIADANA BRESCIANA,GHEDI
15.0,12.5
24.5,22.5
0.5,0.0
2.0,-0.5
10.0,10.0
12.0,10.5
6.0,4.5
1.0,1.0
0.0,-2.0
7.0,7.0
3.0,2.0
11.0,14.5
12.5,13.5
-0.5,-2.5
0.5,0.0
-1.0,2.5
3.5,2.5
4.0,5.5
-1.0,-2.5
3.5,2.5
5.0,4.5
7.0,6.0
5.0,5.5
3.0,3.0
-0.5,-2.0
1.5,1.5
1.0,0.5
4.0,3.0
0.0,0.0
3.0,23.5
1.0,-0.5
14.5,13.0
4.0,4.0
7.5,8.5
5.5,5.5
5.0,5.0
1.0,6.5
1.5,1.5
3.0,4.0
8.0,8.5
1.5,0.0
3.5,3.5
1.0,-1.0
0.0,-1.5
1.0,0.0
1.5,0.0
-0.5,0.5
3.0,1.5
6.0,6.0
4.5,4.0
4.5,4.0
1.5,1.0
0.0,-1.5
1.0,-1.0
10.5,8.0
15.5,13.5
3.5,2.5
1.0,-0.5
7.0,4.5
25.0,25.0
6.5,6.0
9.0,8.5
4.0,3.0
9.0,13.5
7.0,7.5
2.0,1.5
1.5,0.0
9.0,7.0
11.5,10.0
0.0,-1.5
0.5,-0.5
3.5,2.0
0.0,0.0
2.0,0.5
0.5,-1.5
0.0,-1.0
0.5,0.5
2.0,0.5
5.0,4.0
1.5,2.0
11.5,9.5
5.5,4.0
3.0,1.5
5.5,5.0
10.5,9.0
4.5,5.0
21.0,21.5
6.5,5.0
0.0,-2.0
1.0,-1.0
3.5,1.5
16.0,13.5
6.5,6.5
-0.5,0.0
9.5,8.0
7.0,7.0
1.0,-1.0
5.5,3.5
0.5,-1.0
1.5,0.0
2.0,1.5
3.0,2.5
0.0,0.5
3.0,1.0
9.0,7.5
3.0,3.0
9.5,8.5
5.5,4.5
3.5,2.0
0.5,-1.0
10.5,9.0
8.5,8.5
25.0,23.5
2.0,2.0
6.5,6.5
0.5,-0.5
3.5,1.5
-0.5,-1.5
1.0,1.0
4.5,5.5
3.5,3.0
4.5,3.0
6.5,6.5
3.5,3.0
27.0,24.5
2.0,0.5
19.5,19.0
0.0,-0.5
0.5,0.5
4.5,3.0
15.0,14.0
3.0,2.5
4.0,3.5
0.5,-1.0
5.0,5.0
22.5,20.5
0.5,-1.5
0.0,-2.0
6.5,6.5
24.0,23.0
3.0,2.0
1.0,-0.5
0.5,0.5
4.5,5.0
6.5,6.0
2.5,2.0
1.5,1.0
2.0,0.5
3.0,2.5
