S.PIETRO IN CASALE,FERRARA
1.0,-1.0
5.5,5.5
0.5,-1.0
2.5,2.5
4.0,6.0
2.5,4.0
0.5,-0.5
1.0,2.5
0.5,1.5
2.5,-1.0
1.0,2.0
3.5,2.5
3.0,2.5
2.5,2.0
1.5,3.0
5.0,3.5
3.0,2.0
2.5,2.0
1.5,1.0
2.5,-0.5
1.0,0.0
1.5,0.0
0.5,-1.5
0.5,-1.0
0.5,-0.5
2.5,5.5
2.0,1.0
2.5,0.5
2.0,1.0
0.5,-1.0
1.0,0.0
1.0,2.0
1.0,3.0
3.0,3.5
1.0,0.5
1.5,0.0
0.0,-2.0
1.5,2.5
1.0,-2.0
0.0,-1.5
0.5,-1.5
0.5,1.0
1.5,2.0
0.5,1.0
2.5,4.5
1.5,-0.5
4.0,1.5
0.5,1.0
1.0,4.5
3.0,1.5
2.5,2.0
2.0,0.0
1.5,0.5
7.0,5.5
1.5,0.5
5.0,9.0
0.5,2.5
0.0,-2.5
1.5,-0.5
1.0,-1.5
2.0,2.0
14.0,12.5
2.5,1.5
5.0,4.0
1.0,2.0
2.5,2.0
1.5,2.0
1.5,1.5
1.0,2.5
-1.5,-1.0
0.5,0.0
0.5,0.0
0.5,-1.5
0.5,1.5
0.0,3.0
0.0,-1.5
0.5,-1.0
0.5,-1.0
1.0,-1.0
3.5,1.0
3.5,2.5
1.0,-0.5
3.0,1.5
1.5,2.5
1.0,2.5
-1.5,-4.0
0.0,-2.0
25.5,24.0
3.5,1.0
0.0,-0.5
0.0,-1.0
1.0,-1.0
0.0,-1.5
0.0,-1.0
0.0,-1.5
24.5,24.5
1.5,0.5
3.0,1.5
2.5,1.0
1.0,-0.5
2.0,1.5
2.5,2.5
8.0,10.5
2.5,3.5
0.5,2.0
3.0,2.0
0.5,-2.0
2.5,12.5
3.5,1.5
1.0,1.0
4.5,5.5
1.0,0.5
1.5,4.0
1.5,1.5
0.5,-1.0
0.0,-1.5
1.0,0.0
0.5,-1.5
1.5,2.0
-0.5,-0.5
3.0,5.5
0.0,-1.5
1.5,1.0
1.5,0.5
2.0,2.5
2.5,2.5
3.5,1.0
5.0,5.5
1.0,0.5
3.0,3.5
1.5,0.0
5.0,5.5
0.0,-0.5
0.5,-1.5
1.5,-0.5
16.5,24.0
4.0,6.0
3.0,1.5
1.0,-1.0
1.5,1.0
3.0,3.5
0.0,-2.5
1.0,-2.5
1.0,-1.0
1.5,-0.5
1.0,0.5
2.5,2.5
1.0,-0.5
1.0,0.0
0.5,-0.5
3.0,2.0
1.0,0.0
1.5,0.0
1.0,0.0
1.0,-0.5
2.0,0.0
1.0,-0.5
3.5,2.0
3.0,1.5
2.0,-0.5
3.0,1.0
3.5,2.5
6.5,6.5
2.0,1.5
0.0,-1.5
0.0,-0.5
0.0,-0.5
0.5,-1.0
1.0,0.0
1.0,2.5
3.0,3.5
19.5,21.5
6.0,5.0
0.0,-2.0
1.0,1.0
0.5,-0.5
0.0,-1.0
0.5,-0.5
2.0,1.5
1.0,0.0
15.5,16.5
1.5,0.5
1.5,0.5
3.0,4.5
2.0,0.5
0.5,-1.0
1.5,1.5
2.0,2.0
1.0,1.0
2.0,0.5
0.5,-1.0
0.5,-2.0
0.5,-1.0
2.0,2.0
-0.5,-0.5
2.0,1.0
0.5,0.0
2.0,0.0
1.0,0.0
0.0,0.0
1.0,1.0
7.5,7.5
0.0,-1.0
1.0,-1.5
2.5,0.5
1.0,2.0
1.0,2.5
2.0,0.5
2.0,0.5
0.0,0.0
1.5,2.0
1.5,-0.5
1.0,0.0
2.5,1.5
4.0,2.5
3.0,2.0
1.0,-1.0
0.5,-1.0
1.0,1.0
0.0,1.0
0.5,1.5
3.5,3.0
2.0,2.0
13.5,17.0
4.0,4.5
0.5,-1.5
1.5,0.5
-0.5,-1.5
1.0,0.0
1.5,-1.0
1.5,0.0
2.0,4.5
0.5,0.5
14.5,14.5
0.5,-2.0
0.5,-1.5
6.5,7.0
0.5,2.5
-0.5,-2.5
1.5,0.0
5.0,4.0
2.0,1.0
35.5,36.0
3.0,5.0
0.5,1.5
0.5,2.0
0.5,-0.5
1.5,3.5
9.5,9.0
2.0,3.5
1.0,-0.5
1.0,0.0
