ARONA,SESTO CALENDE
0.0,0.5
-0.5,0.0
-3.5,0.5
5.5,5.0
13.5,13.0
-0.5,0.0
-3.5,-1.0
-1.0,1.0
1.0,2.5
0.0,0.0
-1.5,0.0
-3.0,-1.5
-1.0,0.0
6.0,6.0
4.5,4.5
-2.0,-0.5
-0.5,4.5
-3.0,-0.5
-1.5,-0.5
-1.5,0.0
2.0,14.0
1.0,1.0
0.0,1.5
-1.5,-0.5
-1.5,0.0
6.0,7.0
-1.0,0.0
-0.5,-0.5
1.0,2.0
-2.5,-1.0
-3.0,-0.5
9.0,9.0
16.0,16.0
-2.0,0.0
-2.0,1.5
-1.0,-1.0
5.5,5.0
-2.5,-0.5
-3.0,-0.5
-3.0,0.0
-2.5,0.0
-2.0,0.0
3.0,4.0
-3.0,-0.5
6.5,7.0
22.5,22.5
-1.5,0.0
-2.0,0.0
2.0,3.0
-1.0,1.0
0.0,0.0
-2.0,0.0
-1.5,-0.5
-2.0,0.0
-2.0,-0.5
-0.5,-0.5
-2.5,-0.5
-2.0,-0.5
-2.5,-1.0
0.5,5.0
-3.0,-1.0
-1.5,0.0
1.5,2.5
-2.5,0.0
23.0,27.5
0.0,-0.5
5.0,4.5
-2.5,-1.0
-1.5,0.0
1.0,1.0
-1.5,-1.0
-1.5,-0.5
-0.5,-0.5
0.5,0.5
0.5,1.0
-2.0,-0.5
-2.5,-1.0
0.5,1.5
-2.0,-1.0
-2.5,0.0
-2.0,0.0
-2.5,-0.5
-2.5,-1.5
-2.0,-1.5
1.0,1.5
-2.5,-0.5
-1.5,1.5
-0.5,-0.5
-2.0,0.0
5.0,6.5
-0.5,0.5
0.5,1.0
-1.5,0.0
-2.0,-1.0
-0.5,1.5
4.0,8.5
-0.5,-0.5
-1.0,0.0
-1.5,-0.5
-2.0,-0.5
-2.5,-0.5
-2.5,2.5
-2.5,-1.0
-1.0,0.5
1.5,1.5
-2.5,0.0
1.0,0.5
-0.5,0.5
-1.5,0.0
-2.0,0.5
1.5,1.0
-1.0,-1.5
-2.0,0.0
-2.5,-0.5
-2.0,-1.5
1.5,0.5
-2.0,-1.0
-2.5,-0.5
1.0,0.5
-2.5,-1.0
-1.0,2.5
-1.5,6.0
-1.5,-2.0
12.5,13.0
10.5,10.0
-1.0,2.0
-1.5,-0.5
-0.5,-1.0
0.0,0.5
-2.0,-1.0
-1.5,-0.5
2.0,3.5
-1.5,-1.0
-1.0,1.0
-2.0,-1.5
-1.5,-0.5
-2.0,-0.5
-1.0,0.0
-2.5,-1.5
-1.5,1.5
-2.5,0.0
-1.5,-0.5
-2.0,-0.5
-0.5,0.0
-2.0,1.0
-2.5,1.0
-1.0,-1.0
-1.5,-1.5
-1.5,0.0
-2.5,0.0
-0.5,1.0
-2.0,-1.0
