REMEDELLO SOPRA,VISANO
20.5,19.5
-1.0,29.0
2.5,-1.0
4.5,3.5
10.5,9.5
12.5,11.5
-1.5,-1.5
0.0,1.0
2.5,3.5
9.5,6.0
5.5,6.0
17.0,15.5
12.0,11.0
1.5,0.5
-3.5,0.5
1.5,-2.0
6.5,6.5
3.0,2.0
1.0,0.0
7.0,6.5
1.0,4.5
9.5,10.5
6.0,4.0
6.0,2.5
1.0,0.0
1.0,0.5
-0.5,0.5
7.0,7.0
0.0,0.0
6.0,6.0
3.5,4.0
10.5,14.0
0.5,1.0
3.5,6.0
2.5,5.0
4.5,1.5
2.0,-0.5
1.5,-1.0
6.0,6.0
11.0,7.0
2.5,2.5
2.0,2.5
0.0,-1.0
2.0,3.0
6.5,5.0
2.0,4.0
2.5,1.5
8.5,7.5
7.0,4.5
9.0,4.5
-2.0,4.5
-2.5,0.5
1.0,0.5
3.0,5.0
17.5,16.0
20.0,19.5
4.5,3.0
5.5,5.0
1.0,0.0
28.0,24.5
7.5,5.0
-3.0,-6.0
6.0,7.0
8.5,7.0
-0.5,5.5
-3.0,1.5
2.5,4.0
13.0,14.0
12.0,16.0
1.0,0.0
-3.0,0.5
7.0,6.5
1.0,-1.5
5.0,5.0
1.5,0.5
5.0,3.5
0.5,-2.5
3.5,5.5
5.0,7.5
0.0,0.5
18.0,16.5
7.0,7.0
4.0,6.0
9.0,4.5
14.5,14.5
7.0,4.0
8.5,5.0
3.0,4.0
2.5,1.0
2.0,1.0
4.5,7.0
19.0,20.5
8.5,5.5
0.5,0.0
1.5,2.0
8.0,7.0
3.0,2.5
9.0,9.0
2.0,1.5
5.0,5.5
-3.0,1.0
3.5,3.0
0.5,-2.5
7.0,6.5
4.5,3.5
4.0,2.5
15.5,14.5
10.0,10.0
6.5,6.5
0.0,-0.5
11.0,14.5
11.5,8.0
30.0,28.5
2.5,2.0
6.0,4.0
2.5,2.0
4.0,3.5
0.5,0.0
-1.0,-4.5
6.5,4.5
0.0,0.0
7.0,7.0
5.5,5.0
0.5,3.0
32.0,31.5
2.5,1.5
23.5,23.5
-0.5,-0.5
0.0,0.0
2.5,1.5
12.0,18.5
9.0,7.5
5.0,4.0
0.5,0.0
1.5,3.5
10.5,14.0
6.0,5.5
2.0,2.5
6.0,5.5
29.0,24.0
4.5,6.5
0.5,3.0
2.0,-1.0
2.5,4.0
9.0,5.0
-2.0,1.5
-1.0,-4.0
5.0,5.0
4.0,5.0
