CHIUSI C.T.,TERONTOLA CORTONA
2.5,4.5
8.0,6.5
2.0,10.0
4.0,11.0
4.0,1.5
14.5,11.0
22.0,18.5
1.5,1.5
2.0,3.0
4.0,2.5
-2.0,4.0
-1.0,0.0
2.5,2.0
38.0,35.0
19.0,15.0
1.5,1.0
-2.5,7.0
11.5,8.0
-0.5,0.5
5.5,2.5
41.5,38.0
84.5,81.5
146.5,144.0
5.0,7.5
27.0,24.5
60.0,57.5
5.0,10.0
-1.0,2.0
-0.5,2.0
3.5,1.5
-0.5,0.0
-1.5,3.0
17.0,15.0
4.0,4.0
14.0,14.5
44.5,40.0
26.0,23.0
27.0,26.0
10.5,7.0
2.5,-1.0
-1.5,-2.0
2.0,3.5
13.5,11.5
5.0,2.0
22.5,19.5
26.0,32.5
20.0,15.5
-2.0,2.5
0.5,1.5
28.5,24.5
17.5,14.0
46.5,44.0
17.0,14.0
4.5,6.5
9.0,6.5
30.5,27.0
3.0,0.0
32.5,28.5
-1.0,2.0
-0.5,7.0
0.5,-1.0
-1.0,6.5
46.0,42.5
7.5,4.5
-1.0,2.5
15.0,11.0
9.0,5.5
42.0,38.0
3.5,3.0
-0.5,5.0
-1.0,5.5
0.0,4.5
-0.5,2.0
23.0,19.5
-0.5,-0.5
1.5,0.0
-1.0,2.0
0.5,-1.0
-0.5,7.0
-2.0,-0.5
31.0,27.0
32.5,28.0
4.0,2.5
-1.0,5.0
37.0,33.5
0.5,2.0
15.0,17.5
2.0,6.5
-0.5,10.0
152.0,149.0
2.5,5.0
-1.0,2.0
0.0,5.5
20.5,17.0
15.5,12.0
19.0,19.0
15.0,12.5
2.0,-0.5
4.0,4.0
0.5,-2.5
38.0,36.0
3.0,1.0
-0.5,7.0
0.0,3.0
8.0,5.5
-1.0,7.5
1.0,2.5
-1.5,1.5
0.5,0.5
0.5,3.0
27.5,24.0
0.5,-1.5
-1.0,2.0
4.5,7.5
-0.5,5.0
5.0,2.0
16.0,12.0
0.0,1.5
3.5,0.0
10.5,7.0
5.5,6.0
-1.5,1.5
1.5,5.5
26.0,23.0
-1.5,-0.5
21.0,17.5
1.0,5.0
-1.5,6.0
-2.0,3.0
28.0,24.0
0.0,1.0
-0.5,0.0
59.0,56.0
-1.5,-1.5
