GODO,RUSSI
0.5,-2.0
1.0,0.0
5.0,2.0
29.0,27.5
5.0,3.5
4.5,2.0
6.0,3.5
7.5,5.0
1.0,0.0
3.5,1.0
7.0,5.0
5.0,4.5
4.0,1.0
3.0,2.0
4.0,1.5
6.0,3.5
4.0,1.5
1.5,0.5
3.0,0.5
6.0,4.0
4.0,2.5
5.5,3.0
6.5,4.0
5.5,3.0
4.0,3.0
3.5,1.0
4.5,3.0
7.5,5.0
2.5,1.0
6.5,4.0
4.0,1.5
3.5,4.0
5.5,3.0
14.0,11.0
5.0,2.0
3.0,0.0
2.0,1.5
4.0,1.5
5.5,3.0
5.5,4.5
5.0,3.5
4.0,1.5
1.5,0.5
5.5,3.0
4.0,1.5
1.5,0.5
6.0,4.0
7.0,4.5
2.0,1.5
5.0,2.5
9.5,7.0
6.0,4.5
6.0,3.5
4.0,1.5
1.5,0.5
6.0,3.5
22.5,21.0
6.5,5.5
5.0,2.0
7.5,5.0
2.5,1.0
7.5,6.5
5.0,2.5
7.5,6.0
3.0,0.5
9.0,6.5
6.5,5.5
5.5,3.0
14.5,12.0
2.5,2.0
5.5,3.0
3.0,0.5
1.5,0.5
6.0,3.5
8.5,5.5
2.0,0.0
15.0,12.5
6.0,3.5
1.5,0.0
3.0,0.0
2.0,-1.0
1.5,0.0
4.0,2.5
4.0,2.5
4.0,3.5
5.5,3.0
4.0,1.5
2.0,1.0
4.5,2.0
6.0,3.5
6.5,6.5
2.5,0.0
3.0,1.5
6.5,4.0
5.5,3.5
2.5,1.5
3.0,0.5
10.5,7.5
1.5,0.5
5.5,3.0
5.5,3.0
16.0,13.5
2.0,1.0
5.5,3.0
4.0,8.5
4.0,2.5
1.0,0.0
7.0,5.0
3.5,1.0
7.5,8.5
4.5,2.0
5.5,3.0
7.0,4.5
5.0,3.5
5.5,3.5
6.5,4.0
2.5,1.5
6.0,3.5
2.5,0.5
2.0,2.0
5.5,3.0
7.5,5.5
4.0,2.5
11.0,8.0
7.5,5.0
5.5,4.0
6.0,3.5
4.0,2.0
9.5,7.5
5.0,2.5
11.0,8.5
3.0,2.0
4.5,2.0
7.5,6.0
1.5,0.0
2.5,0.0
4.0,1.5
1.5,0.0
3.0,0.5
4.0,1.5
2.0,0.5
4.5,2.0
1.5,-1.0
6.0,6.0
3.0,0.5
6.5,4.0
11.0,9.5
6.0,5.0
8.0,5.5
1.5,0.5
2.5,0.5
1.5,0.5
5.5,3.0
5.5,3.5
-8.5,0.0
5.5,3.0
6.5,4.0
3.5,1.0
7.5,7.5
4.5,2.0
8.5,6.0
2.0,0.5
3.5,1.5
7.0,4.5
1.5,0.5
5.0,2.5
2.5,0.0
6.5,6.5
5.5,3.0
5.0,2.5
4.0,2.5
2.0,-0.5
1.5,0.0
6.0,3.5
4.5,1.5
1.5,0.0
5.5,2.5
4.0,1.5
5.5,5.0
5.5,3.0
2.0,-0.5
1.5,0.5
4.5,3.0
1.5,-1.0
2.0,1.0
1.5,-1.0
4.0,1.5
2.5,2.0
10.5,8.0
3.0,0.0
2.0,1.0
5.5,3.0
7.0,5.0
1.5,0.5
12.0,9.0
6.0,3.5
8.0,5.5
4.0,2.5
8.5,6.0
4.0,1.5
4.0,3.0
7.5,5.5
5.0,3.0
4.0,2.5
6.0,4.0
4.0,1.0
2.5,-0.5
3.5,2.0
6.5,4.0
5.0,2.5
4.5,2.5
7.0,7.0
4.0,2.5
6.0,4.5
1.5,0.5
6.0,3.5
5.0,2.5
1.5,0.5
5.5,2.5
5.0,2.5
2.5,1.5
3.5,0.5
4.5,3.0
4.5,3.0
5.0,2.5
6.5,4.0
1.5,0.0
5.5,3.0
1.5,-0.5
2.0,0.5
5.5,3.0
6.5,4.0
5.5,3.0
1.5,1.0
5.5,3.0
6.0,3.5
1.5,0.0
6.0,4.0
3.0,0.0
3.5,2.5
6.5,5.0
4.5,1.5
1.0,0.0
6.0,3.5
2.5,0.0
1.5,0.5
3.5,2.0
5.0,2.5
2.0,0.5
8.5,6.0
5.0,2.0
18.5,17.0
8.0,7.5
3.5,1.0
5.5,3.0
15.5,14.0
6.5,4.0
5.0,2.5
2.0,1.5
4.5,1.5
6.5,3.5
2.0,1.0
4.0,2.5
5.5,3.0
1.5,0.5
5.5,4.0
2.5,0.0
2.5,1.5
5.0,2.5
5.5,2.5
5.0,3.0
6.0,3.5
2.5,1.5
6.0,3.5
3.0,0.5
2.0,0.5
6.5,4.0
4.0,1.5
4.0,3.5
6.0,3.5
3.0,0.5
2.0,1.5
5.5,3.0
2.0,1.0
5.0,2.5
6.0,3.5
20.0,18.5
6.0,3.5
2.0,-0.5
5.5,3.0
1.0,-1.0
6.0,4.5
6.0,3.5
2.0,1.0
4.0,1.5
6.0,3.5
7.0,4.5
1.5,0.0
6.0,3.5
2.5,0.0
2.5,1.5
6.0,3.5
7.0,4.0
2.0,1.0
4.5,2.0
10.0,7.5
5.5,4.5
5.0,2.5
9.0,6.5
1.5,0.0
5.5,2.5
9.5,7.0
2.5,1.5
5.0,2.5
6.0,4.0
6.5,6.0
5.5,3.0
5.5,2.5
3.5,1.0
1.5,0.0
4.5,1.5
8.5,6.5
2.0,1.0
3.5,2.0
5.5,4.0
2.5,2.0
6.5,4.0
7.5,5.0
2.0,1.0
5.5,2.5
5.0,2.0
9.0,6.5
3.0,2.0
3.0,0.5
2.5,0.0
3.5,1.0
4.0,4.0
5.5,2.5
1.5,-1.0
