BOLOGNA C.LEAV,ROVIGO
-2.0,3.5
0.5,5.0
0.5,1.0
8.5,6.5
6.5,11.5
0.5,0.0
8.0,9.5
5.0,8.0
4.0,8.0
5.5,9.5
4.0,6.5
1.0,0.5
-1.5,6.0
325.5,332.0
2.5,3.5
3.0,5.0
8.0,10.0
8.0,7.0
1.0,3.0
9.0,6.0
10.5,12.0
6.0,5.5
-1.0,6.5
-0.5,4.5
3.0,6.0
15.5,16.5
10.0,10.5
25.5,25.0
0.0,2.5
0.5,1.5
86.0,87.0
16.0,15.5
0.0,6.0
21.5,22.0
7.0,9.5
3.0,2.5
2.0,4.5
-2.0,1.5
9.0,10.0
10.0,11.5
3.5,8.5
10.0,9.5
7.0,8.0
30.5,50.5
34.5,37.0
2.5,4.5
1.5,4.5
10.0,9.5
0.0,5.5
1.5,6.0
6.0,5.0
-2.0,2.0
5.5,6.0
4.0,2.0
5.0,6.0
15.5,13.5
6.0,9.0
9.5,9.0
-0.5,10.0
-2.0,2.5
-1.5,3.0
2.0,2.5
13.5,11.0
44.0,43.5
116.0,120.0
9.0,7.0
1.0,1.5
10.0,15.0
9.5,9.0
12.0,14.0
11.0,13.0
5.5,7.5
5.5,6.5
3.0,8.5
0.0,-0.5
0.5,7.5
33.0,36.0
9.0,8.0
-1.0,0.0
18.0,18.0
1.0,2.5
15.5,16.5
-3.0,3.0
10.0,9.0
18.5,19.0
