PIACENZA,CASALPUSTERLENGO
-2.0,-2.5
17.0,16.0
-1.0,-1.0
-1.5,4.0
-3.5,1.0
-3.0,1.0
-2.0,1.5
3.5,0.5
-2.5,-1.0
-1.5,0.0
-2.0,1.5
-2.0,-2.0
-1.0,2.0
-3.0,-3.5
1.0,2.0
1.0,2.5
0.0,-0.5
-1.0,6.5
-3.0,0.0
-1.5,2.5
-3.0,1.0
-1.5,-1.0
-2.0,1.5
-2.0,0.5
-1.0,-0.5
-1.5,0.0
-1.5,5.5
-2.0,1.0
1.0,3.0
8.5,7.0
-2.0,-1.0
-2.0,0.5
-1.5,4.0
87.5,88.5
-2.5,0.0
-2.5,3.0
-2.5,74.5
-3.5,-1.5
-2.0,3.0
-1.0,3.0
-1.0,1.5
-1.5,0.0
-1.5,-1.0
-2.5,5.5
-1.0,1.0
-2.0,8.0
-1.0,-2.5
-3.0,1.0
-2.0,-2.0
-2.0,0.0
-1.5,-1.5
-3.0,0.0
-2.0,-2.5
-2.0,-2.5
-2.0,-2.0
-3.0,-1.5
-2.0,1.0
-2.0,-1.5
-2.5,2.5
-3.0,-2.0
0.0,-0.5
-2.0,-3.0
-2.0,2.0
-2.0,2.5
0.0,3.0
-3.0,-1.0
-2.5,1.5
-2.0,-3.0
-1.5,-1.5
-1.5,3.0
-2.0,3.5
-2.5,-0.5
-0.5,-1.5
-1.0,3.5
-1.0,0.5
-2.0,2.0
-2.0,-0.5
-2.0,5.0
81.5,86.0
-2.5,1.0
-1.5,0.5
-2.5,5.0
-1.0,-1.0
0.0,-2.5
-2.5,-3.0
-2.5,-0.5
-2.0,-3.0
-3.0,1.0
-2.5,-1.5
-2.0,5.5
-2.0,3.5
-2.0,5.0
-3.0,2.0
-2.5,-3.0
-2.0,-3.0
-2.0,5.0
-2.5,4.0
-1.0,1.0
-2.5,0.0
-2.5,1.5
-2.5,2.5
-2.0,-2.0
-2.0,-2.5
-2.5,-1.0
-1.0,1.5
-2.0,-1.0
-2.0,7.0
2.5,0.0
-1.5,-2.0
-2.0,1.0
-1.5,2.5
-1.0,-1.5
-2.0,-2.0
5.0,2.5
-2.0,-1.0
-2.5,0.5
-1.5,3.0
1.5,-1.0
3.0,6.0
-2.0,3.5
-2.5,1.5
-2.0,3.5
0.0,6.0
-1.0,-0.5
-1.5,5.5
0.0,-3.0
-1.0,1.5
1.0,5.0
-2.0,7.5
-2.5,1.5
1.0,0.0
-1.5,-3.0
-2.5,-2.5
-2.0,-1.5
-2.0,-2.0
-3.0,-2.0
-2.0,-3.0
-3.0,-1.5
-2.0,-1.0
-2.5,5.0
-2.0,-2.0
-3.0,0.0
-1.5,5.5
-2.5,-0.5
