AREZZO,TERONTOLA CORTONA
23.0,26.5
4.5,5.0
-0.5,1.5
3.5,7.5
25.5,27.0
20.0,20.5
0.0,2.5
17.0,22.5
22.0,23.5
27.5,28.5
20.5,21.0
-1.5,8.0
12.0,14.0
1.0,2.5
22.5,26.0
61.5,62.5
4.0,5.0
2.0,3.5
23.0,24.5
19.5,19.0
37.5,38.0
4.0,5.5
24.5,25.0
23.0,27.5
2.0,2.5
27.5,30.5
8.5,10.5
23.0,24.5
2.5,3.0
13.0,15.0
2.5,12.5
21.0,21.5
88.0,90.0
2.5,3.5
1.0,1.5
51.0,53.0
24.0,26.5
0.0,1.0
43.0,43.5
54.5,63.0
10.5,11.5
7.5,10.0
26.5,28.0
3.0,5.0
23.0,24.0
5.0,5.5
4.5,8.5
42.0,46.5
20.5,20.0
27.5,29.5
40.5,44.0
33.5,38.5
1.0,4.5
7.5,8.0
5.5,10.0
-0.5,0.0
-1.5,6.0
5.0,5.5
22.5,24.5
5.0,5.0
5.5,6.0
3.0,9.5
25.0,25.0
34.5,35.5
25.5,25.5
25.5,27.0
24.5,25.0
14.5,14.5
9.5,11.5
6.5,11.5
2.5,3.0
6.0,8.0
20.5,21.5
5.5,8.5
55.0,62.5
22.0,22.0
23.5,26.0
5.5,6.0
-0.5,5.5
7.0,11.0
67.0,70.5
4.5,6.5
8.0,9.0
4.0,7.0
-0.5,0.5
2.0,5.0
2.0,6.5
25.0,25.5
6.0,7.5
0.0,0.5
10.0,12.5
4.5,5.5
5.5,6.5
2.0,2.0
12.0,14.0
100.5,102.5
15.0,17.0
6.5,8.0
68.5,73.5
14.0,15.0
1.5,5.5
1.0,1.5
21.5,23.0
5.5,9.0
3.0,3.0
5.0,8.0
4.0,4.5
14.0,15.5
9.0,11.0
14.0,14.0
23.0,27.0
62.0,64.0
18.5,18.5
45.0,46.5
3.0,4.0
27.0,29.5
4.0,7.5
3.0,3.5
1.0,6.5
3.0,5.5
44.0,47.0
6.5,8.0
37.5,45.0
2.5,6.0
6.5,9.0
15.5,17.0
9.0,13.5
5.0,6.0
68.5,69.5
0.0,1.0
7.5,9.5
