BOLOGNA MAZZINI,BOLOGNA S.RUFFILLO
2.0,0.5
1.5,0.0
1.5,0.0
1.5,0.5
1.0,0.0
2.0,1.5
1.0,0.0
1.5,0.0
1.0,0.0
0.5,-0.5
4.5,3.5
1.5,0.0
1.0,0.0
2.0,1.0
1.5,0.5
2.5,1.0
3.0,2.0
7.0,5.5
2.5,1.5
1.5,0.5
1.0,-0.5
1.0,0.0
2.5,1.5
1.5,0.5
1.5,0.5
2.5,1.5
3.0,1.5
3.5,2.5
1.5,0.5
2.0,1.0
1.5,0.5
2.5,1.5
4.5,4.0
2.0,1.0
1.5,0.0
2.5,1.5
2.0,0.5
4.0,3.5
1.5,0.0
2.5,1.0
2.0,0.5
2.5,1.5
3.5,2.5
2.5,1.5
1.5,0.5
1.0,0.5
1.0,0.5
1.0,1.0
1.5,0.0
4.5,3.0
2.5,1.0
1.0,0.0
2.0,1.0
1.0,0.0
1.5,0.0
2.0,1.0
1.0,0.0
4.0,3.5
1.5,0.5
0.5,-0.5
1.5,0.5
1.5,0.5
1.5,0.0
3.0,2.0
2.0,0.5
3.0,1.5
1.5,0.0
1.0,0.0
1.5,0.0
2.0,0.5
2.5,1.0
1.0,0.0
1.5,0.0
3.0,2.5
2.5,1.5
2.0,0.5
2.0,1.0
1.0,0.0
1.5,0.0
1.0,0.0
2.0,1.5
2.0,0.5
1.5,0.5
0.5,-1.0
1.0,0.0
3.0,2.0
1.5,0.5
1.0,-0.5
1.0,0.5
1.0,-0.5
1.0,0.0
4.0,2.5
1.0,0.0
1.5,0.5
2.5,1.0
1.5,0.5
1.0,0.0
1.0,0.0
4.5,3.5
1.5,0.5
1.0,0.0
1.5,0.5
1.0,0.0
2.5,1.5
2.0,1.0
2.5,1.5
1.5,0.5
1.5,0.5
4.5,3.0
2.5,1.0
1.0,0.0
5.5,4.5
1.5,0.0
1.5,0.5
1.5,0.0
1.5,1.0
1.0,0.0
1.5,0.0
4.5,3.5
2.0,1.0
4.5,3.0
3.0,2.0
1.5,0.0
1.0,0.0
2.0,0.5
2.0,1.0
55.5,55.0
2.5,1.5
36.5,42.0
2.5,1.5
1.5,0.5
5.5,4.5
1.5,0.0
1.0,0.0
5.0,3.5
5.0,4.0
1.5,0.5
2.0,0.5
2.5,1.5
6.5,5.0
1.0,0.0
1.5,0.5
1.5,0.0
1.0,0.0
1.0,0.0
2.5,2.0
2.0,1.0
4.0,2.5
1.5,0.0
2.0,0.5
2.0,1.0
1.0,0.0
1.5,0.0
1.0,-0.5
4.0,3.5
1.5,0.5
1.5,0.5
2.0,1.0
1.0,-0.5
1.0,-0.5
1.5,0.5
4.0,3.0
2.0,0.5
1.0,-0.5
2.0,1.0
1.0,0.0
1.5,0.0
2.5,1.0
4.0,3.0
3.0,2.0
1.5,0.5
1.0,0.0
1.0,0.0
2.5,2.0
1.5,0.5
1.5,0.0
4.5,3.5
1.5,0.5
1.5,0.5
1.0,-0.5
6.0,6.0
1.5,0.0
2.0,1.0
2.5,1.5
3.0,2.0
1.0,0.0
1.5,0.0
9.5,8.0
1.0,0.0
1.0,0.0
1.5,0.5
2.0,0.0
2.0,1.0
1.0,-0.5
1.5,0.0
3.0,1.5
1.5,0.5
8.0,7.0
8.5,7.5
2.0,0.5
1.5,0.0
1.5,0.5
1.0,-0.5
1.5,1.0
1.5,0.0
4.5,3.5
3.5,2.5
1.5,0.5
1.0,0.0
3.0,1.5
3.5,3.0
2.5,1.5
2.0,0.5
2.5,1.5
2.0,1.0
1.0,0.0
1.5,0.5
4.5,3.0
2.5,1.0
1.5,0.5
4.0,3.0
1.0,0.0
2.0,1.0
1.5,0.0
1.0,0.0
1.5,0.0
2.5,1.5
2.0,1.0
3.0,2.0
2.0,1.0
2.5,2.0
4.0,3.0
2.5,1.0
3.0,2.0
6.0,4.5
1.5,0.5
3.0,2.0
1.5,0.5
1.5,0.5
1.0,0.0
2.0,1.5
1.5,0.0
5.0,75.0
2.5,1.5
2.0,1.0
1.5,0.5
1.5,0.5
3.0,2.5
5.5,4.0
1.0,-0.5
3.0,1.5
3.0,1.5
32.5,33.0
3.0,2.5
8.5,7.5
1.0,-0.5
2.0,1.0
1.5,0.5
1.5,0.0
2.0,0.5
1.5,0.0
2.5,1.5
2.0,1.0
1.5,0.5
0.5,-0.5
1.5,0.5
1.0,0.0
1.0,0.0
1.5,0.5
3.5,2.5
1.5,0.5
3.5,2.5
2.5,1.0
1.5,0.5
2.0,1.0
1.5,0.5
1.5,0.5
3.5,2.5
1.5,0.5
1.0,0.0
1.5,0.5
1.5,-0.5
12.0,10.5
1.5,0.5
