PORTOMAGGIORE,ARGENTA
1.0,-1.0
5.0,3.5
1.5,-1.0
8.0,6.5
3.5,1.0
3.0,1.5
12.5,10.0
8.0,7.0
3.0,1.0
2.5,0.5
4.5,2.0
6.0,5.0
1.0,0.0
0.0,-1.5
2.0,-0.5
6.5,4.5
8.0,6.0
0.5,-0.5
0.0,-2.5
11.0,8.5
3.5,2.0
1.5,-0.5
4.0,3.0
4.5,2.0
2.5,0.5
1.5,-0.5
2.0,0.0
4.5,3.5
4.0,2.0
1.0,-0.5
0.5,0.0
3.0,1.0
15.5,25.5
1.5,0.0
3.0,1.5
5.5,4.5
2.5,0.5
1.5,-0.5
1.5,-0.5
5.5,3.5
1.0,-1.5
2.5,2.0
3.5,1.5
3.5,1.0
2.0,-0.5
3.5,2.0
3.5,1.5
7.5,5.0
3.5,1.0
3.0,1.0
1.0,0.0
2.5,0.5
2.0,0.0
3.5,2.0
0.5,-2.5
2.5,0.0
4.5,3.0
6.5,4.0
3.5,3.5
3.5,2.0
2.0,-0.5
4.0,2.0
2.0,0.5
2.0,0.5
2.5,0.5
2.0,1.5
6.0,5.0
4.5,2.5
0.5,2.5
2.5,0.5
0.0,-2.0
0.5,-1.0
1.5,0.5
1.0,-0.5
2.5,2.0
1.0,-1.5
3.0,0.5
2.5,1.0
3.5,1.0
1.0,-1.5
1.5,0.0
5.5,4.5
1.5,-0.5
0.0,-1.0
3.5,1.5
3.0,1.0
8.0,5.0
2.5,0.5
1.0,7.5
3.0,1.0
1.0,-0.5
7.0,5.0
3.0,1.0
2.0,0.0
2.5,0.0
2.0,1.5
2.0,1.0
6.0,4.5
3.0,1.0
2.0,0.5
0.5,0.0
2.0,0.0
3.0,1.0
1.5,0.0
2.0,0.5
2.5,0.5
4.0,2.5
3.5,2.5
2.0,0.5
10.5,8.0
3.0,2.0
2.0,0.5
0.5,-1.5
2.5,0.0
1.5,0.0
2.0,0.5
4.5,3.5
2.5,0.5
2.5,0.0
0.5,-2.0
