BOLOGNA SAN VITALE,S.LAZZARO DI SAVENA
3.5,4.0
4.5,5.0
2.5,3.0
2.5,3.0
2.5,3.5
4.5,5.0
3.0,4.0
1.5,2.5
2.5,2.5
1.5,2.0
2.0,2.5
9.0,10.5
22.0,22.5
4.0,4.5
3.0,3.5
1.0,1.0
2.5,3.5
2.5,3.5
3.0,4.5
3.5,4.5
3.5,4.5
1.5,2.0
1.5,2.0
3.0,4.0
2.0,3.0
13.5,14.5
1.5,1.5
4.0,4.5
2.5,3.0
7.0,8.0
2.0,3.0
1.5,2.5
3.0,3.0
1.0,1.5
1.5,3.0
1.0,1.5
2.0,5.0
3.5,4.0
5.0,6.5
2.0,2.5
1.5,2.5
4.0,5.0
1.5,2.0
3.0,4.0
3.5,4.5
2.0,2.5
4.5,5.0
8.5,8.5
2.0,2.5
19.5,20.0
3.0,4.5
1.5,2.5
3.0,3.5
2.0,2.0
3.5,4.0
2.0,2.0
3.5,4.5
2.0,2.5
2.5,3.5
7.5,9.0
6.5,7.0
2.5,3.0
1.5,2.5
1.0,1.0
5.0,6.0
2.0,2.5
40.5,41.5
1.0,4.0
1.5,2.0
2.5,3.0
2.5,3.0
2.0,3.0
2.0,2.5
2.0,6.5
2.0,2.0
4.0,4.5
