BOLOGNA C.LEAV,FERRARA
3.5,2.0
-5.0,-1.0
-4.5,-2.0
0.5,0.0
-3.0,-1.0
5.0,3.5
2.5,3.0
13.5,12.0
4.0,2.5
-3.5,-1.0
-5.0,-0.5
-5.5,4.5
6.5,6.5
17.0,17.0
5.5,3.5
-1.0,0.0
5.0,3.0
5.0,2.5
1.5,-0.5
1.0,0.0
-2.0,-1.5
8.0,6.0
-2.0,3.5
2.0,5.0
-3.0,-1.5
-2.5,1.0
30.5,34.5
3.5,5.0
-6.0,-1.5
2.5,4.5
-6.0,-1.5
-0.5,-1.5
-1.0,-1.5
-1.0,-1.0
-2.5,-0.5
2.5,12.0
-4.5,0.5
2.5,2.0
5.0,3.5
10.5,10.5
6.5,4.0
-2.0,-1.5
-5.5,-1.5
13.5,14.5
7.0,5.0
2.5,0.0
-5.5,-1.5
0.5,-1.0
4.0,2.5
-3.0,-2.0
-1.5,0.0
9.0,8.5
-3.0,1.0
2.0,0.5
1.5,0.0
-1.5,-0.5
14.5,14.5
-3.0,0.5
6.5,6.5
-4.5,-0.5
7.0,5.0
42.0,48.0
-0.5,-0.5
-2.0,-1.0
-5.0,-1.5
3.0,3.5
8.0,7.5
-2.5,-1.0
11.0,12.0
-0.5,-1.5
-3.0,0.0
3.5,5.5
3.5,7.0
-4.0,-0.5
-4.5,-2.0
95.5,93.5
-3.5,-2.0
6.0,5.0
-2.5,-2.5
42.0,43.0
2.5,2.0
