ROMA TIBURTINA,NAPOLI CENTRALE
10.0,3.0
10.0,2.0
6.0,-3.0
19.0,22.0
2.5,-1.0
13.0,9.0
6.5,-2.0
7.0,1.5
3.0,-3.0
22.0,21.0
14.0,28.5
6.5,-0.5
1.0,14.0
6.0,-2.0
17.5,21.5
2.5,-3.0
11.0,13.0
2.0,-1.5
16.0,10.5
4.0,-4.0
12.0,3.5
5.0,-4.0
1.5,-3.0
127.5,127.0
9.0,0.5
7.0,-1.0
4.0,-1.5
11.0,5.0
8.5,0.0
41.5,35.5
11.5,4.0
16.5,13.5
7.5,-1.5
4.5,3.5
2.5,1.5
6.0,-0.5
12.5,6.5
5.5,-2.5
9.0,-1.5
5.5,-5.0
8.5,2.5
19.5,16.0
13.5,33.0
15.0,7.5
1.5,-8.0
14.0,9.0
6.5,24.5
2.5,-3.0
14.5,10.0
7.0,0.5
15.5,9.5
12.5,4.0
0.5,-6.5
8.0,0.0
5.5,5.5
4.5,-5.5
1.5,-6.5
4.5,-2.5
13.5,6.5
9.5,6.5
7.0,6.0
5.0,-1.5
8.0,0.5
18.0,20.0
9.0,2.0
10.5,2.5
1.5,-9.5
12.0,6.0
31.0,29.0
18.5,10.5
11.5,2.5
8.5,0.0
7.0,2.0
12.0,3.5
2.5,28.5
19.5,16.0
9.5,4.0
12.5,7.5
9.5,3.5
9.0,5.5
11.0,29.0
6.0,-3.5
9.5,0.5
12.0,6.0
5.5,-1.0
6.0,-1.5
9.0,2.0
7.5,-1.0
15.0,7.0
11.0,1.5
12.5,9.0
7.5,1.0
6.5,1.0
11.5,3.5
7.0,2.0
11.0,6.5
20.5,30.5
12.5,10.5
19.5,10.0
13.5,97.5
8.0,28.0
12.0,8.0
6.5,3.0
20.5,16.5
14.5,8.0
11.0,2.0
2.5,-1.5
3.0,0.5
3.5,-3.0
12.5,6.0
1.0,-6.0
5.0,0.5
21.0,61.5
9.5,0.0
8.0,2.5
3.0,-4.0
12.5,2.0
18.5,19.0
78.5,72.0
4.0,-2.5
8.0,5.5
8.0,-0.5
2.5,-5.5
73.0,92.0
4.5,-1.5
3.0,-1.0
3.5,16.0
6.0,-2.5
21.5,18.5
55.0,50.0
12.0,7.5
7.0,5.5
8.0,-1.5
9.0,49.5
8.0,11.5
