LIDO DI CLASSE-LIDO DI SAVIO,RAVENNA
-1.0,4.5
-1.0,0.5
-1.0,1.5
2.0,1.0
3.0,2.5
-1.0,1.0
-0.5,3.5
0.5,3.5
1.5,0.5
-1.0,2.0
-2.0,1.0
-1.5,4.0
0.5,2.0
-1.0,2.0
2.5,3.0
-1.5,5.5
-2.5,1.5
0.0,1.0
-1.5,1.5
-1.5,2.0
7.5,5.5
-1.0,0.5
5.5,3.5
-0.5,2.0
0.5,2.5
-1.5,3.5
-1.5,2.0
-1.5,3.0
-1.0,0.5
2.5,1.5
-1.5,0.5
1.0,1.5
-1.0,4.5
23.0,14.5
-1.5,-0.5
-1.0,0.5
-1.5,0.5
-2.0,1.0
-1.0,0.5
-1.0,1.5
-1.5,1.5
0.0,3.5
-1.0,2.5
-2.0,1.0
-1.5,0.5
-2.0,0.0
0.0,2.5
4.5,1.5
-1.5,1.5
-1.5,1.0
3.5,1.5
-1.5,1.0
-1.0,1.5
-1.5,5.5
10.5,2.5
-0.5,1.5
1.5,3.0
1.0,3.0
-1.0,2.0
0.0,6.0
-0.5,0.0
2.0,1.0
-0.5,5.5
-1.5,2.0
0.0,3.5
-0.5,4.5
-1.5,1.0
2.5,0.5
-1.5,1.5
0.5,2.5
-1.0,5.5
-1.0,1.5
-2.0,6.5
-0.5,1.0
-1.0,1.0
-2.0,2.5
-1.0,4.0
4.5,1.0
1.0,1.5
21.0,12.0
-2.0,1.5
3.0,2.0
-2.0,10.0
3.5,6.0
0.0,1.0
-1.0,4.0
-2.0,2.0
-1.0,3.0
-2.0,0.5
1.0,8.5
-1.5,2.0
-2.0,1.0
5.0,2.0
-2.0,1.0
-1.0,1.5
-1.0,1.0
-1.5,3.0
-0.5,0.5
0.5,1.0
7.5,1.0
0.5,0.0
-0.5,1.0
-0.5,2.0
-1.5,0.5
12.5,6.0
-2.0,1.0
0.5,2.5
-0.5,0.0
-0.5,1.5
-1.5,2.5
1.0,-0.5
-1.0,2.0
4.0,1.0
-1.5,1.5
5.0,10.5
-1.5,1.5
-1.0,3.0
3.5,5.0
2.5,1.0
-1.5,4.0
-1.0,9.0
21.5,17.5
-1.5,0.5
-1.0,2.5
-1.0,1.0
-1.5,3.0
15.0,6.5
1.5,2.0
0.5,1.0
-1.0,1.0
1.0,1.5
0.5,5.0
-1.5,1.5
15.0,7.0
0.0,0.5
0.5,2.0
0.0,2.0
1.0,2.0
21.0,13.5
0.5,2.5
-1.5,2.5
-1.0,1.5
-0.5,1.0
4.5,0.5
-1.5,3.5
