ESTE,OSPEDALETTO EUGANEO
0.5,1.0
0.5,1.0
-0.5,-0.5
-0.5,0.0
0.0,0.5
2.0,2.0
9.5,9.0
1.0,1.5
0.0,0.0
-0.5,0.0
1.0,1.0
1.0,1.0
0.5,1.0
0.5,1.5
0.0,0.5
-0.5,0.0
1.0,1.5
1.0,1.0
-0.5,0.0
1.0,2.0
1.0,1.5
0.0,0.5
-0.5,-0.5
0.5,1.0
0.0,0.0
-0.5,-1.0
-0.5,0.5
1.0,1.0
0.0,0.5
-0.5,0.0
-0.5,0.0
-0.5,-0.5
0.0,0.0
2.0,3.0
0.5,1.0
0.0,0.0
0.5,1.0
1.0,0.5
0.0,0.0
-0.5,0.5
0.5,0.5
0.0,-0.5
0.5,1.0
0.5,1.0
2.0,5.0
1.0,1.5
0.5,0.0
-0.5,-0.5
0.0,0.5
-0.5,1.0
-0.5,0.0
-0.5,-0.5
3.0,3.0
0.5,1.0
-0.5,-0.5
0.5,1.0
2.5,2.0
1.0,2.0
-0.5,0.0
0.5,1.0
-0.5,0.0
0.0,0.0
0.5,0.5
2.0,2.5
3.5,3.5
0.5,1.0
1.5,1.5
-0.5,0.0
0.0,0.5
0.5,0.5
1.0,2.0
0.0,0.5
0.5,1.0
0.5,1.0
-0.5,-0.5
0.0,0.5
0.0,1.0
0.0,0.0
1.0,1.0
1.0,1.5
0.0,0.5
3.0,3.5
-0.5,0.5
0.5,1.0
0.0,1.0
0.5,1.0
1.0,1.5
0.5,0.0
0.0,0.5
-0.5,0.0
0.0,0.0
0.0,0.0
1.5,2.0
-0.5,-0.5
0.5,2.0
0.0,0.5
0.5,0.5
-0.5,-0.5
2.0,2.0
-0.5,-0.5
2.5,2.5
1.0,2.0
-0.5,-0.5
1.0,1.0
0.0,0.0
0.0,0.5
1.5,2.5
0.5,0.0
0.5,0.5
2.0,2.5
-0.5,0.0
-0.5,-0.5
0.0,0.0
0.0,0.0
1.0,1.5
0.0,0.0
-0.5,-0.5
0.5,1.0
1.0,1.5
1.0,1.5
0.0,0.0
-0.5,-0.5
-0.5,-0.5
0.0,-0.5
0.0,0.5
1.0,1.5
3.0,2.5
1.0,1.5
2.5,2.5
0.0,0.0
2.5,3.0
0.0,0.0
1.0,0.5
0.0,-0.5
0.5,1.0
-0.5,-0.5
-0.5,0.0
-0.5,0.0
0.0,0.5
0.5,0.5
0.0,0.0
0.5,0.5
-0.5,0.0
0.5,0.0
-0.5,-0.5
1.5,2.0
-1.0,-1.0
1.0,1.0
0.0,0.0
-1.0,-1.0
0.0,0.0
0.0,0.5
1.0,1.0
0.5,1.0
-0.5,-0.5
0.0,1.0
-0.5,-0.5
0.0,0.0
-0.5,-0.5
1.0,1.0
-0.5,0.0
0.5,1.0
0.5,1.5
7.0,7.5
0.5,0.5
0.0,0.0
-1.0,-0.5
2.0,3.5
-0.5,-0.5
0.0,1.0
0.0,0.0
0.5,0.5
0.0,0.0
0.5,0.5
1.0,1.0
0.5,0.5
1.5,2.0
1.5,1.5
0.0,0.5
0.0,0.0
0.5,0.5
1.5,2.0
-0.5,0.0
-0.5,-1.0
-0.5,0.0
-1.0,-0.5
-0.5,-0.5
1.0,0.5
-1.0,-0.5
0.0,0.0
-0.5,0.0
1.0,1.5
-0.5,-0.5
-0.5,0.5
2.0,2.0
-0.5,-0.5
-1.0,0.5
1.0,1.0
0.5,1.0
1.5,1.5
1.0,2.0
1.0,1.0
0.0,0.0
0.5,0.5
4.0,4.5
1.5,2.0
-0.5,-0.5
0.0,1.0
1.5,1.0
-0.5,0.0
0.0,0.5
0.0,2.0
1.0,1.0
-0.5,7.0
0.5,0.5
-0.5,-0.5
0.0,1.0
0.0,0.5
46.0,45.0
0.0,0.0
-1.0,-0.5
0.5,1.0
0.5,1.5
0.0,0.5
0.0,0.0
1.0,1.0
10.0,9.0
5.0,5.5
0.5,1.0
0.5,0.0
3.5,3.5
7.0,19.0
