S.PIETRO IN CASALE,S.GIORGIO P.
1.0,0.0
9.5,5.0
8.0,9.0
4.0,3.5
7.0,7.0
18.0,22.0
3.0,2.0
5.0,1.5
4.5,4.0
3.0,3.5
6.0,5.5
4.5,-0.5
5.5,4.0
3.5,3.0
7.5,3.0
8.5,9.0
7.0,6.0
0.5,-4.0
5.5,5.0
5.5,4.5
2.0,1.0
9.0,9.5
3.5,4.5
4.5,4.0
4.0,4.0
3.5,3.0
3.0,3.5
8.5,8.0
4.0,-0.5
2.0,2.0
3.5,2.5
3.0,-2.0
5.0,5.5
4.0,3.5
1.0,0.0
4.5,3.5
4.5,3.5
2.5,2.0
3.0,4.0
1.5,0.5
1.5,0.5
14.0,14.5
6.0,6.5
4.0,4.0
6.0,1.5
3.0,3.0
3.0,2.0
7.5,3.0
5.0,5.0
2.5,1.5
8.5,4.0
6.0,6.5
4.5,6.0
1.0,0.0
4.0,-0.5
2.5,1.0
0.0,-1.0
8.0,8.0
4.5,5.0
3.0,2.5
4.0,3.0
3.5,3.0
5.5,4.0
0.0,-4.0
1.5,0.5
5.0,4.0
2.5,-1.5
16.5,16.0
7.5,7.5
4.0,6.5
6.5,6.5
5.0,10.5
5.0,0.5
4.0,4.0
1.5,1.0
8.5,4.5
0.5,1.0
2.0,1.5
2.5,-2.0
5.5,4.5
4.0,3.0
9.0,4.5
8.0,8.0
2.5,3.0
9.5,13.5
3.0,-2.0
2.0,1.5
3.0,-1.5
3.5,4.0
1.5,0.5
2.5,-2.0
5.0,3.5
2.0,1.0
3.5,-0.5
5.5,5.0
10.5,7.0
17.0,16.5
3.5,3.0
3.5,-0.5
6.5,5.5
1.0,0.0
1.0,-3.5
6.5,5.5
2.5,1.5
3.0,-2.0
3.5,2.0
2.0,2.0
4.5,5.0
5.5,5.0
8.5,9.5
6.0,5.0
4.5,3.5
4.0,-1.0
5.0,6.0
3.5,3.5
8.0,7.0
7.0,10.0
6.5,7.5
9.0,8.5
7.5,9.5
4.5,5.0
3.0,2.0
8.0,10.5
5.0,5.5
5.0,4.5
2.0,-3.0
3.5,5.5
3.0,2.0
6.0,1.0
5.0,5.0
7.0,7.0
1.5,2.5
3.5,3.0
0.5,0.0
8.5,8.0
1.5,0.5
0.0,-1.0
3.5,2.0
6.5,5.5
4.5,3.0
2.5,-1.5
7.5,6.5
2.5,1.5
1.5,-3.5
5.5,5.5
5.0,5.5
0.5,0.0
3.5,7.0
1.0,1.5
7.0,6.0
4.0,-0.5
6.5,7.0
5.0,10.0
4.0,4.0
2.0,-3.0
8.0,9.5
0.0,-0.5
6.0,1.0
4.0,5.0
6.0,5.5
5.0,4.5
3.0,-1.5
2.5,1.0
3.5,3.5
2.0,5.0
3.0,2.5
3.5,3.0
7.5,3.0
7.5,8.5
3.0,2.5
2.5,-2.5
6.0,4.5
5.5,4.5
5.0,5.0
0.5,-0.5
21.0,16.0
3.5,4.5
1.5,0.5
5.5,5.5
3.5,-1.0
2.5,1.5
5.0,0.5
3.5,5.0
163.0,167.5
4.5,3.5
4.0,0.0
9.5,10.0
6.0,5.0
3.0,-1.5
10.5,11.0
9.5,8.5
7.0,2.0
3.0,3.0
9.0,9.0
6.5,3.5
6.5,6.0
4.0,4.0
6.5,6.0
11.5,10.0
5.0,5.5
1.5,1.0
3.5,-1.0
5.5,4.5
4.5,3.5
7.5,3.0
10.0,10.5
4.0,3.0
4.0,4.5
16.0,16.0
4.0,3.5
4.5,3.5
6.5,5.0
2.5,6.0
83.5,87.5
78.5,74.0
5.0,5.0
7.0,6.5
7.5,8.5
5.5,4.5
2.5,1.5
4.5,5.0
2.5,2.0
1.5,0.5
1.0,4.0
3.0,2.0
3.5,3.0
4.5,0.5
4.0,5.0
2.0,1.0
7.0,2.5
7.5,8.5
-1.0,-0.5
3.0,-1.5
3.0,3.5
4.5,4.0
4.5,0.0
10.5,16.0
4.0,4.0
3.5,3.0
4.5,5.0
2.0,1.0
1.5,0.5
8.0,3.5
2.5,2.5
10.0,9.5
2.0,-3.0
2.5,3.5
4.5,3.5
3.0,-1.5
3.0,3.5
1.5,1.0
4.5,9.5
2.5,3.5
1.0,0.0
11.0,6.5
0.5,0.5
4.5,5.0
1.5,1.5
2.0,-2.0
4.5,4.5
8.0,8.5
4.0,0.0
1.5,0.5
4.5,4.0
3.0,5.5
5.0,4.0
2.5,2.0
1.0,-4.5
4.5,4.0
1.5,1.0
25.0,20.0
4.0,4.5
1.5,1.0
1.5,-3.0
4.0,4.5
1.0,0.0
4.5,3.5
4.0,3.0
6.5,5.5
4.0,-1.5
2.5,4.0
1.0,0.0
5.0,4.5
7.5,8.0
6.5,5.5
2.0,-3.0
4.0,4.5
5.5,5.0
3.0,3.0
7.0,3.0
3.5,4.0
3.5,3.0
5.0,7.5
3.5,-1.5
4.0,6.0
3.0,2.0
3.5,-1.0
7.0,6.5
2.0,1.0
2.5,-2.0
3.5,3.5
13.0,12.5
4.5,0.5
7.0,6.5
2.5,1.5
3.0,-1.5
7.5,8.5
2.5,4.5
1.5,0.5
5.0,0.5
9.0,10.0
6.0,5.5
9.5,8.5
3.5,0.5
1.5,0.5
6.0,1.5
2.0,1.0
4.0,3.5
1.0,-2.5
3.0,2.0
8.5,7.5
2.5,-2.0
4.5,4.5
3.5,2.5
26.0,24.5
11.0,9.5
5.0,4.0
0.0,-1.0
2.0,-2.0
3.0,4.0
4.0,3.5
3.5,-1.0
6.0,5.5
-0.5,-1.0
1.0,1.0
6.5,7.0
1.5,0.5
0.0,-4.5
4.0,3.0
3.0,3.0
10.5,11.5
12.5,18.0
4.0,5.0
2.0,1.0
14.0,13.0
3.0,3.0
11.5,10.5
15.5,18.5
4.0,3.5
1.0,-3.5
2.5,2.0
3.0,1.5
8.5,9.0
9.5,13.5
3.0,3.5
2.0,1.0
3.0,-2.0
4.5,3.0
2.0,1.5
3.0,-1.5
6.5,7.0
4.5,5.0
1.0,0.0
4.0,0.0
4.0,3.0
4.5,4.0
1.5,0.5
5.0,5.0
6.0,2.0
3.0,2.5
7.0,6.5
3.0,4.0
3.0,2.0
2.5,-0.5
3.5,3.0
0.0,-1.0
4.0,0.0
4.5,4.0
3.0,2.5
2.5,-0.5
4.0,3.0
3.0,3.5
2.5,-2.5
8.5,8.0
8.5,7.5
7.0,3.0
7.5,7.5
2.5,2.0
8.0,6.5
4.0,3.5
