MONFALCONE,TRIESTE CENTRALE
-2.0,-2.5
-4.0,10.0
3.0,0.5
3.5,5.0
-1.0,0.0
2.5,1.0
-0.5,4.0
1.0,-2.5
2.0,1.0
0.5,-1.0
-1.5,3.5
-1.5,-2.5
-0.5,2.5
6.5,4.5
70.5,71.5
-1.0,-0.5
-2.5,-2.0
-0.5,-2.0
-1.0,0.0
2.0,1.5
-1.0,-2.0
0.5,-1.0
2.0,1.0
20.5,18.5
-2.0,1.0
0.5,-3.5
2.0,2.0
-2.0,-0.5
6.0,4.5
-1.0,-0.5
0.0,-1.0
-1.0,2.0
11.0,9.0
-0.5,-0.5
-1.0,-2.5
-2.0,0.0
25.0,23.0
-1.5,-1.0
-1.0,-1.5
-0.5,-0.5
4.0,16.5
-1.5,1.0
0.0,-2.0
2.0,2.5
0.0,-1.5
-1.5,0.0
6.0,6.5
-0.5,-1.5
3.5,1.0
0.5,-1.5
2.0,1.0
-0.5,-0.5
2.0,0.0
0.5,2.0
-1.0,-3.0
1.0,-1.0
0.0,-1.0
2.5,-1.0
0.0,1.5
-0.5,-1.0
7.0,2.5
0.0,-1.5
-1.0,-2.0
-1.5,-2.0
2.0,-1.0
-1.0,0.0
8.5,6.0
17.5,15.0
-2.0,0.0
71.5,71.0
0.0,-3.5
-1.0,1.0
3.0,0.5
0.0,22.0
-2.0,-2.5
-1.0,0.5
0.0,-0.5
1.5,-1.0
1.0,-2.0
