BARLETTA,BARI CENTRALE
5.0,3.5
24.5,17.0
49.0,43.5
78.5,72.0
7.0,-2.0
36.5,32.5
7.5,14.5
24.5,21.5
3.5,-3.5
0.5,-7.5
7.0,-2.0
1.5,1.0
34.0,27.5
5.5,2.0
7.5,0.5
16.0,7.0
-1.5,-4.0
10.5,2.0
5.0,-3.0
14.5,7.0
6.0,3.5
38.0,32.5
15.0,6.5
21.0,13.5
5.5,1.0
4.5,-3.5
1.5,-5.5
7.0,0.5
112.5,107.5
27.5,23.5
12.5,4.0
10.5,1.5
3.5,-2.0
27.5,24.0
2.5,-3.0
-0.5,-7.5
12.5,4.5
6.5,0.5
2.5,1.0
30.0,22.5
9.5,2.5
31.0,25.0
15.5,6.5
36.0,35.5
36.5,39.0
33.5,30.5
35.5,30.5
64.5,57.0
4.5,-3.0
9.0,1.5
4.5,-3.0
11.5,3.0
23.5,16.0
26.0,21.5
37.0,27.5
4.5,-4.0
7.5,0.5
1.0,-4.0
73.0,73.0
32.5,25.5
0.0,-6.5
4.5,4.5
1.0,1.0
-0.5,-1.0
0.0,-5.0
3.5,-3.5
18.5,14.0
48.5,44.0
2.5,-2.0
108.5,102.0
23.0,23.0
3.0,-4.0
61.0,58.0
14.0,5.0
32.5,23.5
28.0,25.0
62.5,55.5
1.5,-3.5
62.0,54.0
12.5,5.5
18.0,9.0
59.5,56.5
18.5,11.5
36.5,27.5
41.5,32.5
11.5,4.5
3.5,-5.0
23.0,18.5
10.5,3.0
32.0,26.0
4.0,-1.5
9.0,2.5
16.0,9.0
26.5,17.5
16.5,9.0
21.5,17.0
2.5,-5.5
20.5,14.5
34.0,26.0
18.5,17.5
25.5,17.5
22.5,15.5
26.5,21.5
6.5,1.0
34.5,25.5
26.0,16.0
39.5,34.5
18.5,10.5
5.0,-3.5
13.0,32.0
17.5,12.5
72.0,71.5
27.5,18.5
10.5,0.5
28.5,23.0
2.0,6.0
75.0,66.5
41.5,35.5
22.5,13.5
6.5,-1.0
6.0,-3.5
13.0,7.5
37.0,29.5
45.0,43.5
23.5,21.5
1.5,9.0
5.0,1.5
