BUSTO ARSIZIO,RHO FIERA MILANO
2.0,7.0
1.5,5.0
3.0,6.0
2.5,4.0
10.5,12.0
4.5,6.0
0.0,0.5
4.0,7.0
11.5,16.0
0.5,1.5
1.0,2.5
0.0,0.5
1.5,4.5
2.5,8.5
4.0,5.0
2.0,2.5
4.5,7.0
2.0,8.0
0.0,4.5
1.0,4.0
16.5,24.0
3.5,8.0
2.0,4.0
1.0,4.5
0.5,2.5
5.0,10.0
2.5,5.5
0.5,2.5
2.0,4.5
1.5,3.5
0.5,2.5
6.5,7.5
14.0,18.0
2.5,4.5
24.0,25.0
2.5,5.0
6.0,8.0
0.5,3.0
0.0,3.5
1.5,3.5
12.0,20.0
0.0,2.5
4.0,8.0
2.0,4.5
4.5,8.5
22.0,24.5
30.0,31.0
0.5,3.5
3.5,9.5
5.0,8.0
0.5,3.5
1.0,8.5
1.0,5.5
1.0,3.0
1.0,3.0
0.5,2.5
5.0,10.5
5.5,12.5
3.0,4.5
3.0,7.0
9.0,10.5
1.0,3.5
3.0,4.5
3.0,6.5
24.5,30.0
1.5,2.5
2.5,3.5
4.5,7.0
1.0,3.5
0.0,1.5
1.0,7.5
10.0,14.5
0.5,2.5
0.0,2.5
0.5,4.0
2.0,4.0
0.5,2.5
2.0,5.5
0.5,9.5
1.0,3.0
3.0,5.5
0.0,4.0
0.0,1.5
3.0,5.0
1.0,4.5
0.5,2.0
1.0,36.5
4.5,6.0
4.0,6.5
5.0,8.5
3.5,5.0
12.5,14.0
0.5,2.0
5.0,7.5
1.5,7.0
7.0,9.5
2.0,5.5
0.5,3.0
4.0,5.5
2.5,4.5
1.5,3.5
12.0,13.5
3.5,8.0
0.5,3.0
2.5,5.5
2.0,3.0
1.0,4.0
0.0,4.5
4.0,5.0
3.0,5.5
1.0,2.0
2.5,7.0
0.5,2.0
4.0,6.5
2.5,5.0
2.0,5.0
3.5,5.0
0.5,2.5
0.0,2.0
-0.5,0.5
3.0,7.5
3.0,4.0
4.5,5.0
9.5,10.0
6.5,7.0
6.5,8.0
2.5,7.0
7.0,24.0
4.5,8.0
1.5,10.0
1.0,3.5
3.0,5.0
1.0,4.5
5.0,7.0
0.5,3.5
4.5,8.5
1.5,4.5
21.5,28.0
3.5,4.0
62.0,72.0
2.0,3.0
0.0,3.0
1.0,4.0
2.0,6.0
1.5,2.5
2.5,6.0
1.0,2.5
0.5,0.5
1.0,3.0
0.5,1.5
0.5,3.0
0.5,6.0
