NAPOLI CENTRALE,SALERNO
3.0,-1.0
-5.0,-10.0
14.5,10.5
2.0,-8.0
-3.0,-3.5
22.0,12.5
-4.0,-9.5
7.5,20.0
9.0,-0.5
-2.0,-5.5
1.5,-4.5
-3.5,-6.0
-3.0,1.0
21.0,19.0
6.5,-0.5
28.5,23.5
-0.5,-1.0
22.0,19.5
14.0,5.0
-2.0,-7.0
144.0,148.0
21.5,25.5
-5.0,-8.0
-3.0,-0.5
5.0,-6.5
13.0,12.0
42.0,37.0
-1.5,9.0
-6.0,-5.5
10.5,16.5
-4.0,-4.0
1.5,-8.0
3.5,-4.0
-4.0,-3.5
-3.0,-6.5
127.0,160.5
0.5,-1.0
2.0,-2.5
-1.0,-1.5
-4.5,-8.0
-1.5,-6.5
13.0,15.5
15.0,7.0
5.0,-5.5
-3.5,-6.0
12.0,17.5
0.0,-7.5
35.5,31.0
4.0,-1.0
13.5,6.0
-1.5,-4.0
3.5,0.0
1.5,-1.0
-0.5,-0.5
-3.5,-0.5
6.5,0.5
-2.5,-7.5
-4.5,-10.5
1.0,-8.5
-1.5,-7.0
-5.0,-3.0
-5.5,-8.0
2.0,-0.5
8.0,15.0
2.5,-5.0
5.0,-2.0
16.0,8.5
17.5,9.0
33.0,25.5
7.5,5.0
-4.0,-9.5
-8.0,-5.5
9.0,0.5
24.5,24.5
-3.0,-7.5
16.0,7.5
10.0,-0.5
-3.5,-2.0
0.5,-2.0
-5.5,-5.5
10.5,5.0
21.5,18.5
9.5,0.0
0.5,-7.0
17.5,10.5
-0.5,-9.0
4.0,2.0
-6.5,0.0
1.0,0.0
0.0,-1.0
5.5,0.5
-5.5,0.5
-6.5,-6.0
11.0,-1.0
-2.5,-9.5
-8.5,-8.5
27.5,15.0
6.5,0.0
-4.0,-10.0
10.5,24.0
6.5,11.5
6.0,1.5
-1.0,-9.0
-1.5,-5.5
18.5,13.0
0.5,-7.5
-6.0,-9.5
4.0,-1.0
20.0,12.0
-5.0,-9.0
2.0,-7.0
3.0,-4.5
2.5,-4.5
-9.5,-7.5
-6.5,-4.0
6.0,-1.5
9.0,0.0
29.0,24.0
20.0,21.0
10.5,4.5
-1.0,-8.5
2.5,3.5
61.0,68.0
24.5,26.5
5.5,-1.0
0.0,-6.5
-6.5,4.5
2.0,-5.5
3.5,-5.5
28.5,23.0
16.0,8.0
17.0,9.5
4.0,-5.0
3.0,-3.5
7.0,5.0
7.5,-0.5
-4.5,-5.0
3.5,-7.0
5.5,-3.5
-8.0,-7.5
29.0,31.5
5.5,-2.0
-3.5,-0.5
23.5,15.0
0.5,-7.5
3.0,2.5
6.0,-1.0
-8.5,-7.5
-1.0,0.5
-1.5,-6.5
-8.0,-8.0
2.0,-1.5
-2.5,-8.0
-1.0,-6.0
-7.0,-10.0
5.5,-2.5
7.0,2.0
0.0,-7.0
1.5,-7.0
9.0,1.0
1.0,-0.5
4.5,-2.5
1.0,-5.0
-6.5,-8.5
8.0,1.0
3.5,2.0
6.5,0.5
10.5,0.0
30.5,22.5
10.5,33.0
-4.5,-6.5
21.5,19.0
10.0,-0.5
13.5,13.5
97.5,88.0
28.0,23.0
2.5,2.5
-3.0,-8.5
8.0,-3.0
3.0,1.5
16.5,10.0
12.0,9.5
8.0,3.5
3.0,-2.5
2.5,-4.5
2.0,-4.0
2.0,-9.0
-1.5,-0.5
0.5,-0.5
-3.0,-5.5
67.0,76.5
6.0,-1.0
-6.0,0.0
0.5,-1.5
112.0,107.0
61.5,54.0
8.0,-1.0
0.0,-4.0
0.0,-7.0
15.0,11.5
2.5,-3.0
-4.0,-8.0
2.0,-1.0
-1.5,-7.5
19.5,13.0
19.0,11.5
13.5,14.5
45.5,37.5
72.0,65.5
49.5,42.5
-2.5,0.5
9.0,0.0
5.5,-1.5
-0.5,-5.5
-5.5,-5.0
-6.5,-10.0
92.0,87.0
-1.5,-7.5
-3.5,-8.0
-1.0,-8.0
16.0,11.0
2.0,-3.0
-2.5,0.5
-9.0,-1.5
18.5,12.0
50.0,39.0
7.5,0.5
5.5,0.0
-1.5,-7.0
2.5,-5.0
49.5,50.5
47.5,42.0
10.0,6.0
11.5,3.5
