ROMA TERMINI,ROMA TIBURTINA
-5.0,1.5
-9.0,-1.0
0.0,2.5
-4.0,1.5
-8.0,2.0
-1.5,-1.5
-1.0,-1.0
-3.0,2.5
-3.5,0.0
5.0,6.0
4.0,1.5
-1.0,-1.5
-4.5,2.0
-8.5,-1.5
-4.0,0.0
-8.0,18.0
-8.0,3.0
-9.0,0.5
-8.0,-1.0
302.0,360.5
0.0,1.5
4.0,6.5
-2.0,3.0
34.0,34.5
-2.0,3.0
-8.0,-1.0
3.0,1.0
-11.0,0.0
2.0,2.0
-5.0,1.5
-1.5,-1.0
-7.0,-1.0
-2.0,2.0
-5.5,0.0
-2.0,0.0
0.0,-1.0
26.0,26.0
-7.0,-1.0
0.0,1.0
-8.0,-1.5
2.0,6.0
-7.0,0.0
-1.0,1.5
7.0,9.0
32.0,32.5
3.0,0.0
-7.0,0.0
-3.0,1.5
-5.0,-1.5
0.0,9.0
-3.0,1.5
1.0,-0.5
-9.5,0.0
4.0,2.0
9.0,14.5
1.0,0.5
2.0,3.0
-4.5,-2.5
-2.0,-0.5
3.0,3.0
-1.0,-1.0
-5.0,0.5
0.0,1.5
-3.0,-1.0
0.0,-0.5
3.0,6.5
6.0,4.0
2.0,5.0
-3.0,2.0
3.0,8.0
-3.0,0.0
-6.0,1.0
10.0,13.5
-2.5,0.0
0.0,1.0
1.0,4.0
3.0,5.5
4.0,5.5
-8.0,8.0
-10.0,-2.0
-3.0,2.0
3.0,-0.5
-6.0,1.0
-1.0,3.5
3.0,2.5
4.0,8.5
4.0,3.5
11.0,10.5
-2.0,-2.0
-1.0,-2.5
0.0,-0.5
-8.0,0.0
26.0,25.5
-1.5,-3.0
47.0,47.0
-4.0,-1.5
-2.0,-2.0
-9.0,10.0
-9.5,-1.5
-9.0,-0.5
-1.0,-1.0
-3.0,0.5
-1.0,3.5
0.0,1.5
17.0,17.0
-4.0,2.5
-1.0,-1.0
-1.0,8.5
