ALFONSINE,VOLTANA
0.5,2.5
0.5,2.0
-2.0,-0.5
-3.0,1.0
1.0,4.5
-1.5,-0.5
0.0,1.0
2.0,1.0
1.0,3.0
2.0,1.0
-1.0,3.5
1.5,5.0
-4.5,0.0
1.0,1.5
0.5,0.0
-1.0,7.0
-0.5,-2.5
-5.0,-1.0
-3.5,1.5
3.0,4.0
0.5,1.0
0.5,0.0
-0.5,0.0
2.0,3.5
-3.5,0.0
1.0,1.5
-2.5,-0.5
2.0,4.5
-2.5,0.0
1.5,3.0
-2.5,-0.5
1.0,2.5
-4.5,0.0
1.0,0.5
0.0,0.0
1.5,6.0
-2.0,-0.5
0.5,1.0
-5.0,-0.5
1.5,1.5
2.5,1.5
1.5,4.0
-3.5,0.0
1.5,4.0
-1.0,0.5
1.5,2.0
-0.5,0.5
2.0,7.0
-4.5,0.5
0.5,6.5
-4.5,-1.0
1.5,2.5
-3.5,0.0
2.0,4.0
-2.0,0.5
0.5,2.0
-1.5,-1.0
1.0,6.0
0.0,0.0
1.0,1.5
-2.5,21.5
0.0,0.5
1.0,3.0
2.0,8.0
-3.0,0.0
3.5,3.0
-2.5,1.5
3.0,3.5
1.0,3.5
-1.0,1.5
-4.0,1.0
2.0,1.0
-5.0,-1.0
1.0,2.0
-0.5,1.0
-4.5,0.5
0.5,4.0
-2.0,2.0
1.5,7.0
-4.5,0.0
3.0,4.5
-3.0,0.5
2.0,8.0
0.0,1.0
1.5,5.5
4.0,3.5
3.0,3.5
-3.0,0.0
2.0,6.0
-3.0,0.0
1.5,3.0
-0.5,-0.5
2.5,3.0
-4.0,0.0
42.0,40.0
-4.0,0.5
-0.5,0.5
-4.5,0.0
1.0,5.0
0.0,-0.5
1.5,1.0
-4.5,-1.0
1.5,1.5
-2.5,0.0
2.5,3.0
-2.5,0.0
-3.5,0.0
0.0,-1.0
15.5,14.5
2.0,2.5
-5.5,-1.0
1.0,2.5
-4.5,0.0
4.0,3.5
-5.0,-0.5
-6.5,0.0
-4.5,-0.5
1.5,17.5
-2.5,0.5
1.5,1.0
1.5,2.0
-2.5,1.0
-3.0,2.0
3.0,11.0
-4.5,-1.0
1.5,5.5
-0.5,0.5
0.5,3.5
-5.0,0.5
1.0,0.5
-2.0,1.5
0.5,12.5
-4.0,-1.0
-0.5,6.0
1.5,2.5
-4.5,0.0
1.0,6.5
-2.0,-0.5
2.0,4.0
0.5,5.0
-1.0,3.0
-0.5,0.0
20.5,19.0
-1.0,-0.5
-3.0,0.0
-5.0,1.5
0.5,2.5
-4.5,-1.0
-3.0,1.0
0.5,2.5
1.0,1.5
-4.5,-0.5
2.5,5.0
0.5,1.5
1.0,4.0
-2.5,0.0
8.5,7.5
-1.0,0.5
0.0,1.5
-3.5,0.0
-2.0,3.0
2.0,3.5
-2.5,-1.0
0.5,4.5
-3.5,-1.0
2.5,3.5
-1.0,0.5
0.5,4.5
-3.0,-0.5
1.5,4.0
-0.5,0.0
0.5,1.5
-4.0,0.5
-2.0,3.5
9.0,8.5
-1.5,-0.5
1.0,5.5
2.0,1.0
1.0,3.0
-4.5,0.0
0.0,2.5
-3.5,-1.5
1.5,2.5
0.0,1.0
1.0,2.0
-1.0,0.0
0.5,2.0
-2.0,0.0
1.0,4.0
-2.0,-1.0
2.5,3.5
4.5,4.5
2.5,5.5
3.0,2.5
2.5,4.0
-2.5,-0.5
0.0,9.0
-1.0,0.0
2.0,3.5
-5.0,0.0
-1.0,-1.0
-5.0,0.0
0.0,3.0
-4.5,0.5
-3.0,2.0
0.5,2.5
-2.0,0.5
0.5,9.0
-0.5,0.5
0.5,-0.5
-4.0,0.0
2.0,3.0
49.0,48.0
2.0,1.5
-3.5,2.5
0.5,1.0
-4.5,-1.5
0.0,9.5
-3.5,-0.5
-4.5,-0.5
0.5,6.5
-3.0,0.0
3.0,-1.0
-4.0,-1.0
0.0,-0.5
-1.0,-0.5
1.0,0.5
-4.0,0.0
0.5,2.5
-3.0,-1.0
-3.0,0.5
0.5,9.5
-4.0,-0.5
-1.0,-5.5
-2.0,1.0
1.0,4.0
8.0,7.0
1.5,3.0
-3.5,4.5
4.5,4.0
-1.5,-1.0
-3.5,0.5
1.0,2.5
-3.5,0.0
-2.0,1.5
1.5,2.5
-1.5,-1.0
-4.5,1.5
-4.0,-0.5
-1.5,0.0
-5.5,-1.0
4.5,4.0
-4.0,-0.5
1.0,9.5
4.0,2.0
1.0,1.5
-5.5,-1.0
1.0,15.0
0.0,0.0
-2.5,4.5
-3.5,0.0
