FASANO,OSTUNI
9.0,6.5
9.0,14.5
6.0,5.0
-1.0,-1.0
-1.5,-2.0
1.0,-0.5
0.0,-0.5
31.0,28.0
9.0,6.0
12.5,10.5
-2.0,4.5
1.5,-1.0
6.5,6.0
-1.5,11.5
4.5,1.5
-1.5,7.0
4.0,3.0
0.5,-1.0
-2.0,-1.5
-3.0,1.5
0.5,0.0
-2.5,7.0
5.0,3.5
7.0,4.0
-0.5,-1.5
1.0,2.0
38.5,37.0
-1.5,-2.5
17.0,14.0
4.5,2.0
5.0,15.5
-0.5,-1.5
21.0,18.0
0.5,10.0
-2.0,-1.0
26.5,24.0
12.0,1.5
-2.0,-0.5
7.0,7.0
0.0,-2.0
-0.5,-1.5
5.0,2.5
-2.0,-1.0
1.5,0.0
-3.0,-1.0
22.5,20.0
-1.5,-0.5
-1.5,-2.0
3.0,1.0
-0.5,-1.5
0.0,-0.5
-0.5,-1.5
4.5,2.5
-2.0,0.0
-2.0,-0.5
-2.5,-0.5
2.0,0.0
-0.5,-0.5
15.0,13.0
-1.5,-2.0
-1.5,-1.5
0.5,-1.0
0.0,-2.5
-2.0,-1.5
-2.0,9.0
-3.0,-1.0
40.5,37.0
3.5,3.0
-2.0,8.5
-1.5,6.0
2.5,2.0
-1.0,-1.0
-1.0,0.5
-2.0,-1.5
-0.5,14.0
27.0,24.5
4.0,2.0
-1.0,-3.0
14.0,11.5
70.0,58.0
4.0,2.5
2.0,0.0
-2.0,-1.5
0.5,-0.5
-1.5,-0.5
-1.5,-2.0
2.0,1.5
49.5,46.5
-2.5,6.5
1.0,-1.5
12.0,20.5
-1.5,-1.5
-1.0,-1.5
1.0,13.0
-2.0,-1.0
-2.0,0.0
-2.0,7.0
-1.5,-0.5
0.0,-1.5
48.0,45.5
0.5,-1.5
-1.0,-1.5
0.0,2.0
-1.0,7.0
2.0,1.0
0.5,1.5
-1.5,-2.0
-1.0,-0.5
4.5,2.0
8.5,6.5
-2.0,-1.0
-1.0,-1.0
10.0,8.5
-1.0,-1.0
-1.0,-2.5
31.5,29.5
-1.0,5.0
13.0,17.0
5.5,4.0
-0.5,-1.0
-1.5,-0.5
-2.0,-1.0
6.0,5.0
92.0,90.5
-1.0,-1.0
-2.0,-1.0
9.0,16.0
-1.0,-0.5
16.5,26.0
-1.5,-0.5
22.5,24.5
140.0,138.5
3.5,1.0
-1.0,-1.5
13.5,20.0
5.5,3.0
10.5,-0.5
17.0,14.5
4.5,15.5
-1.0,-2.5
10.5,9.5
-2.0,7.0
-1.0,-1.5
0.0,-1.5
0.0,-0.5
4.5,12.0
5.5,6.0
33.0,30.0
-2.0,-2.0
10.5,7.5
28.0,25.5
15.0,13.0
-1.0,-2.0
-3.0,-2.5
6.0,14.5
-1.0,-1.0
76.0,75.5
45.0,42.5
-2.0,-1.5
-2.0,-2.5
0.0,0.0
-2.5,8.0
-0.5,-1.5
9.5,16.0
-1.5,5.5
69.5,69.5
-0.5,-2.5
26.5,25.0
-2.0,-1.0
7.0,6.0
4.0,2.5
