REGGIO EMILIA,MODENA
14.5,13.5
1.0,1.5
-2.0,0.0
45.0,44.0
55.0,58.0
-0.5,3.0
3.0,7.0
3.5,3.5
3.0,5.5
-2.0,0.0
-1.0,0.5
4.5,4.0
-0.5,0.0
0.0,-0.5
2.0,1.0
2.0,1.5
1.5,2.0
3.5,8.0
-1.5,-0.5
0.0,0.0
2.5,1.5
3.5,3.0
1.0,2.0
-1.0,0.5
4.0,6.0
9.5,13.0
29.5,31.0
1.0,1.0
-2.5,-1.0
51.5,58.0
-2.0,1.5
-2.5,3.5
-2.0,1.0
2.0,2.5
0.5,1.5
-2.0,-0.5
3.0,3.0
-0.5,1.0
-0.5,2.0
41.0,42.5
2.0,3.0
1.0,1.0
-1.0,0.5
2.5,5.0
-1.5,2.0
-2.0,0.0
5.0,6.0
42.0,41.5
-2.5,-0.5
4.0,5.0
0.0,2.0
4.0,5.0
1.5,5.5
3.5,5.0
34.0,35.5
4.0,4.5
-2.5,-0.5
-1.0,2.0
11.0,10.0
0.0,4.0
1.5,2.0
4.0,3.5
-0.5,0.0
4.0,8.5
1.0,5.5
-1.5,-0.5
5.0,4.0
-0.5,0.5
1.5,1.5
-0.5,0.5
14.0,14.5
1.0,2.0
1.0,3.0
4.5,4.0
0.0,0.0
0.5,1.0
1.0,2.0
2.0,2.0
7.5,10.5
-2.5,-1.0
95.0,97.5
0.0,0.0
-2.0,1.0
-0.5,-1.0
3.0,3.5
2.5,3.0
43.5,47.0
5.0,5.5
-1.5,0.0
-0.5,1.0
26.0,26.0
3.5,7.5
4.0,6.5
-1.5,0.0
1.0,0.5
3.0,4.0
1.5,3.5
-2.0,1.0
-0.5,1.5
-0.5,0.5
-1.5,1.5
2.5,4.5
-1.5,0.0
-0.5,2.0
-1.0,0.0
1.0,2.5
1.0,0.5
10.5,10.0
16.5,18.0
-2.0,0.5
3.0,3.5
-0.5,1.0
-1.0,1.0
-1.0,0.5
-0.5,94.0
-1.5,0.0
4.0,4.5
2.0,3.5
4.5,5.5
0.5,1.0
10.5,11.5
2.0,2.0
-1.5,0.5
25.0,26.5
0.5,0.5
-1.0,-0.5
-0.5,0.5
-1.0,0.5
0.5,0.5
12.0,11.0
2.0,3.5
-1.5,-0.5
3.5,6.5
0.0,1.0
44.0,61.0
-2.0,1.0
-1.0,-0.5
0.5,2.5
-2.0,0.0
-0.5,-0.5
-0.5,0.0
6.5,7.5
7.5,9.0
-0.5,15.5
0.0,0.0
