MILANO CENTRALE,REGGIO EMILIA AV
1.5,5.0
1.5,-1.5
0.5,-2.0
1.5,3.5
1.5,6.5
2.0,7.5
1.0,1.5
1.0,2.5
1.5,0.5
1.5,-2.0
1.5,3.0
1.0,0.0
2.0,9.0
2.5,4.0
3.5,-0.5
2.0,7.0
3.0,3.0
4.0,2.5
1.0,4.0
1.0,-2.5
4.5,5.0
3.5,11.5
1.5,-1.0
3.5,-1.5
0.5,10.0
0.5,1.0
2.0,2.5
2.0,-1.0
1.0,5.5
2.0,-2.5
4.0,10.0
2.5,13.0
1.0,4.0
1.0,0.5
2.5,7.5
2.0,3.5
2.0,1.5
2.0,6.5
1.5,0.5
1.0,-3.5
2.5,9.0
0.5,2.5
0.5,1.0
0.5,2.0
2.0,-0.5
0.5,14.5
1.0,-3.0
2.0,-1.5
1.0,-2.0
1.5,-2.0
2.0,3.5
2.0,6.0
2.0,2.5
1.5,-1.0
5.5,9.5
0.0,8.0
2.0,-0.5
0.5,1.0
3.0,5.0
1.5,-1.5
1.0,-3.0
2.5,0.5
1.0,-0.5
2.0,6.0
2.0,8.5
4.0,9.0
1.5,-1.5
1.5,0.0
2.0,3.0
1.0,-2.5
1.0,19.0
0.5,4.5
1.5,5.5
1.5,4.5
2.0,-1.5
2.5,4.5
1.0,-1.5
1.0,2.0
1.0,1.5
1.0,-1.5
2.5,7.5
2.0,8.0
1.0,8.0
10.5,23.5
1.0,-1.5
0.5,-3.5
2.5,1.0
1.5,24.0
1.0,-2.5
3.0,-1.0
0.5,-3.5
1.5,3.0
1.5,0.0
3.0,2.0
2.0,15.5
1.5,0.0
3.5,8.0
3.0,0.5
5.5,7.5
1.5,-2.5
3.5,7.0
3.5,18.5
0.5,-3.0
1.5,-0.5
1.0,-2.5
4.0,1.0
2.5,8.0
3.0,0.0
0.5,4.5
1.0,3.5
3.5,12.5
4.0,0.5
1.5,15.5
17.0,24.0
1.5,12.0
2.0,5.5
1.0,-3.0
2.0,0.0
1.5,0.5
4.5,0.5
1.5,4.5
1.0,-1.0
0.5,7.0
4.5,8.0
5.0,8.5
1.5,3.5
3.5,3.5
1.5,1.0
2.5,-1.5
2.5,3.5
1.0,12.0
1.0,0.5
1.5,8.5
7.0,9.0
2.5,30.0
2.5,11.0
0.5,-3.5
1.5,3.5
1.5,5.5
18.0,15.0
0.5,1.5
2.5,4.5
1.5,6.0
1.0,-3.0
4.0,6.0
3.5,23.5
1.0,3.0
2.5,0.5
3.0,4.0
1.5,0.5
2.5,11.5
2.0,4.5
