PADOVA,VENEZIA MESTRE
26.5,19.5
-7.0,-7.5
15.5,13.5
37.0,37.0
-16.5,1.5
-3.5,-8.5
1.5,0.5
-8.5,1.5
11.0,3.5
19.0,16.5
142.0,141.5
2.0,-4.5
-7.0,-2.5
-6.5,-9.0
1.5,-5.5
-5.5,-7.5
-9.5,-1.5
-13.0,-3.5
10.5,7.5
23.0,24.5
-4.0,-7.5
12.5,11.5
3.0,1.0
10.5,3.5
6.5,-1.5
-4.5,-7.0
3.0,2.0
-4.0,0.0
-4.5,-8.5
-11.5,-3.0
-3.0,2.0
25.0,25.5
-3.5,0.5
-6.5,-3.0
43.5,52.5
5.5,-0.5
-8.5,-6.0
4.0,23.0
-2.0,-7.5
2.0,-5.0
-10.0,-7.5
-3.5,-1.0
18.5,16.5
87.0,88.0
7.0,5.5
-3.0,-3.5
6.5,4.0
7.0,6.0
-5.5,-9.5
-7.5,-9.0
64.0,64.5
-0.5,0.5
-4.0,0.0
-6.0,11.5
-5.5,4.0
5.0,-2.0
-4.0,-9.0
10.5,4.5
39.0,38.5
-10.5,1.5
-5.5,-5.5
0.5,0.5
-8.5,-2.5
5.5,8.5
1.5,-1.0
3.5,3.5
-5.0,-3.0
-8.0,8.0
13.5,7.5
15.5,7.5
34.5,39.5
6.5,-1.5
-8.5,-8.5
3.5,3.0
2.5,2.0
9.5,9.5
-1.0,-1.0
-9.5,0.5
4.5,4.0
-2.0,-8.5
-3.5,1.0
-5.0,-3.0
-10.0,-3.0
-1.0,-8.5
3.0,-4.5
7.0,0.5
51.5,55.0
-3.0,-8.5
5.0,4.0
-6.0,-9.0
-8.0,5.0
3.0,-2.5
10.0,8.0
80.0,77.0
-5.0,-7.5
0.5,-6.0
3.5,0.5
-1.0,-1.5
3.0,6.5
-1.0,-5.5
26.5,18.0
0.0,-3.0
2.5,0.0
21.0,24.5
21.0,17.5
-0.5,-2.0
-9.0,-3.0
0.0,-7.0
-2.5,-1.5
-10.5,-3.5
13.5,6.5
6.5,0.0
-7.0,-10.0
4.0,-1.5
-4.5,3.0
-4.0,-8.5
18.5,20.5
-2.5,-6.0
-9.0,-9.0
1.0,1.0
4.0,2.0
-3.5,1.5
-5.5,-3.0
-12.0,0.0
96.5,89.0
7.0,-2.0
40.0,47.0
14.5,14.0
-7.0,-3.0
222.0,229.5
-9.0,4.0
14.5,7.0
-6.5,-9.0
-6.5,-2.5
6.0,3.5
8.5,4.0
11.0,14.0
-5.5,-7.0
57.5,53.5
7.5,5.0
7.5,10.0
-5.0,-6.5
-8.0,-3.0
-13.5,3.0
-5.5,-2.5
25.0,23.0
62.0,63.0
-5.5,-8.5
-8.0,-8.0
-7.0,1.5
15.0,8.0
0.5,-1.0
25.5,24.5
129.5,130.5
5.5,5.0
14.5,8.5
-2.0,-2.0
8.5,7.0
-9.5,0.0
-2.5,-2.0
2.5,-4.5
1.0,0.5
28.5,20.5
-4.0,-10.0
16.5,19.5
-4.0,-5.0
13.5,18.5
58.5,58.0
-3.5,1.0
14.0,19.0
-4.5,-9.0
-7.0,-9.0
15.0,17.0
31.0,40.0
89.0,85.0
-2.0,-6.5
2.0,1.0
12.0,12.5
-5.0,2.0
-8.5,-5.5
-4.5,-1.0
-7.0,-4.5
-9.0,-2.0
54.0,54.5
13.0,10.0
8.5,7.5
-9.5,3.5
10.5,1.5
7.0,0.5
