BORGOCHIESANUOVA,LEVATA
1.0,0.0
1.0,0.0
0.0,-1.0
6.0,5.0
0.5,0.0
1.0,0.5
1.5,1.5
0.0,-0.5
2.0,1.5
1.0,0.0
1.0,0.0
1.0,0.0
3.5,3.0
0.5,0.0
0.5,0.0
6.5,5.5
2.5,1.5
5.5,4.5
5.0,4.5
1.5,1.0
4.0,3.5
0.5,0.0
2.5,2.0
1.0,0.5
0.5,-0.5
0.5,-0.5
0.0,-0.5
0.5,-0.5
3.0,2.5
1.0,0.0
2.0,1.0
1.0,0.5
0.0,-0.5
9.5,8.5
2.0,1.0
1.0,0.0
1.0,0.5
3.0,2.0
1.5,1.0
11.0,10.5
0.0,-1.0
1.5,0.5
0.5,0.0
0.0,-1.0
5.0,4.5
18.0,17.0
0.5,-1.0
0.0,-0.5
0.5,-0.5
1.0,0.0
4.0,3.0
6.0,5.5
4.5,3.5
8.0,7.0
0.5,-0.5
2.5,1.5
8.5,7.5
1.0,0.0
0.5,-0.5
1.5,1.0
3.5,3.0
8.5,8.0
16.0,15.0
4.0,3.5
0.5,-0.5
0.5,0.0
3.0,2.0
7.0,6.0
1.0,0.0
0.5,-0.5
1.5,0.5
0.5,0.0
11.5,11.0
0.0,-1.0
0.0,-1.0
-0.5,-1.0
2.5,1.5
0.0,-1.0
0.5,-0.5
0.0,-0.5
1.5,1.0
1.0,0.0
1.5,0.5
0.5,-0.5
3.0,2.0
6.5,5.5
4.0,3.0
2.0,1.5
1.0,0.0
1.0,0.5
4.0,3.0
1.5,1.0
1.5,0.5
0.0,-1.0
0.5,-0.5
1.0,0.0
1.5,0.5
3.0,2.0
26.5,26.0
0.0,-0.5
2.5,1.5
1.0,0.5
2.0,1.0
3.5,3.0
0.5,-0.5
1.0,0.5
0.0,-0.5
0.0,-0.5
1.0,0.0
1.5,0.5
19.5,19.5
1.0,0.0
