BISCEGLIE,TRANI
-0.5,-1.0
16.0,15.5
18.5,16.5
-1.0,-1.0
0.0,-1.5
7.0,5.5
7.0,5.0
0.0,-1.0
3.0,2.0
0.0,-1.0
-0.5,-1.0
-1.0,-1.0
0.0,-0.5
-0.5,-1.5
-0.5,-1.0
-0.5,-1.0
-0.5,-1.5
-0.5,-1.0
0.0,-1.0
-0.5,-1.5
0.0,-1.0
3.0,2.0
2.0,0.5
0.0,-1.0
-0.5,-1.5
-0.5,-1.5
5.5,4.5
19.5,17.5
-0.5,-1.0
-0.5,-2.0
-0.5,-1.5
7.5,6.0
-0.5,-1.0
5.5,4.0
2.5,1.5
10.5,8.0
-0.5,2.0
-0.5,-1.0
-0.5,-1.0
1.0,-0.5
1.0,-1.0
0.5,-0.5
-1.0,-1.5
-1.0,-1.0
-0.5,1.0
1.0,0.0
33.0,30.5
0.5,-1.0
2.0,0.0
0.0,-1.0
0.0,-1.0
0.0,-0.5
0.0,-1.0
-0.5,-1.0
-0.5,-1.5
-0.5,-1.5
-0.5,-1.0
11.0,9.5
2.5,1.0
-0.5,-1.0
4.0,1.5
0.0,-2.0
2.0,0.0
0.0,-1.5
0.5,9.0
17.0,15.0
-0.5,-0.5
6.5,5.0
0.0,-1.0
5.5,3.0
-0.5,-1.5
0.0,-1.0
-0.5,0.0
-0.5,-0.5
0.0,-1.0
0.5,-1.0
0.5,-1.5
-0.5,-0.5
1.5,-0.5
-1.0,-1.5
6.5,5.5
2.5,1.0
-0.5,-1.0
0.0,-1.5
0.0,-1.5
-0.5,-1.0
0.0,-1.0
-0.5,-1.0
-0.5,-1.0
3.0,1.5
6.0,3.5
-0.5,-1.5
4.0,3.5
0.0,-1.0
5.0,2.0
-0.5,-1.0
-0.5,-1.0
5.5,3.5
-0.5,-1.5
0.0,-1.5
-0.5,-1.0
-0.5,-1.0
-0.5,0.0
7.0,5.0
19.0,16.5
1.0,0.0
5.0,3.5
0.0,-0.5
21.0,19.0
-0.5,-1.5
0.5,-0.5
0.5,0.5
3.5,2.0
7.0,5.0
2.0,-1.0
0.5,-1.0
2.5,1.0
-0.5,-1.5
-0.5,-1.5
-1.0,-1.5
0.5,-0.5
-0.5,-1.0
7.5,5.5
7.5,6.0
-0.5,-1.0
-0.5,-1.0
-0.5,-1.5
5.0,2.5
2.5,0.0
-0.5,-0.5
0.5,-1.5
1.5,0.0
-0.5,-1.0
1.5,0.0
0.0,-1.0
0.0,-0.5
8.5,6.0
1.5,-1.0
14.5,12.0
0.0,-0.5
0.0,-0.5
9.5,8.0
