PARMA,REGGIO EMILIA
16.0,14.5
1.0,1.0
-2.0,-2.0
46.5,45.0
52.5,55.0
-0.5,-0.5
-2.0,3.0
3.0,3.5
0.5,3.0
-2.0,-2.0
-2.5,-1.0
1.0,4.5
2.0,-0.5
-1.5,0.0
2.0,2.0
2.0,2.0
2.0,1.5
3.0,3.5
-2.5,-1.5
0.0,0.0
1.0,2.5
4.0,3.5
1.0,1.0
0.0,-1.0
1.5,4.0
5.5,9.5
29.5,29.5
-0.5,1.0
-3.0,-2.5
42.5,51.5
-1.0,-2.0
-1.5,-2.5
-2.0,-2.0
2.5,2.0
-0.5,0.5
-1.5,-2.0
4.0,3.0
0.5,-0.5
-1.5,-0.5
42.5,41.0
1.0,2.0
2.0,1.0
-1.5,-1.0
4.0,2.5
0.0,-1.5
-1.0,-2.0
0.0,5.0
30.0,42.0
-3.5,-2.5
4.0,4.0
1.0,0.0
4.0,4.0
0.0,1.5
1.5,3.5
29.0,34.0
-0.5,4.0
-2.5,-2.5
0.0,-1.0
13.0,11.0
-0.5,0.0
2.5,1.5
0.0,4.0
-0.5,-0.5
5.0,4.0
-1.5,1.0
-3.5,-1.5
7.0,5.0
-1.5,-0.5
3.0,1.5
-1.0,-0.5
12.0,14.0
1.0,1.0
2.0,1.0
-2.0,4.5
-2.0,0.0
2.5,0.5
2.5,1.0
1.5,2.0
6.5,7.5
-3.0,-2.5
90.0,95.0
-0.5,0.0
-2.5,-2.0
1.0,-0.5
1.5,3.0
4.5,2.5
40.5,43.5
-0.5,5.0
-1.5,-1.5
-0.5,-0.5
24.0,26.0
2.0,3.5
0.0,4.0
-3.0,-1.5
0.0,1.0
5.0,3.0
2.0,1.5
-1.5,-2.0
1.0,-0.5
-1.0,-0.5
-1.5,-1.5
4.5,2.5
0.0,-1.5
2.0,-0.5
1.0,-1.0
2.0,1.0
1.5,1.0
10.0,10.5
14.5,16.5
-2.5,-2.0
3.0,3.0
-1.0,-0.5
-1.0,-1.0
-1.0,-1.0
-2.0,-0.5
-1.5,-1.5
3.5,4.0
3.0,2.0
3.0,4.5
-0.5,0.5
7.0,10.5
1.0,2.0
-2.5,-1.5
25.0,25.0
1.0,0.5
-3.0,-1.0
1.0,-0.5
-0.5,-1.0
0.0,0.5
11.5,12.0
1.0,2.0
-2.0,-1.5
1.5,3.5
2.0,0.0
37.5,44.0
0.0,2.5
-0.5,-2.0
-1.0,-1.0
-1.5,0.5
-2.5,-2.0
-1.0,-0.5
0.0,-0.5
7.0,6.5
0.0,7.5
1.5,-0.5
-1.0,-0.5
0.5,0.0
