PADOVA,BOLOGNA C.LEAV
1.0,2.5
13.5,23.0
1.5,7.5
3.0,0.5
-1.0,-0.5
1.0,0.5
3.5,6.0
1.5,2.5
2.0,2.0
-0.5,1.0
-1.0,-3.5
9.0,9.5
3.5,18.0
0.0,-1.5
10.0,10.0
6.5,21.0
5.0,3.5
0.5,5.0
-1.0,1.0
1.0,5.5
12.0,10.0
3.5,10.5
0.0,-0.5
1.0,1.5
10.5,23.0
6.5,9.5
3.0,-1.5
-1.0,-0.5
6.0,10.0
1.5,2.0
4.0,9.5
2.5,5.5
2.0,1.5
2.0,-1.5
2.5,14.5
2.5,2.0
6.5,8.0
0.0,6.5
8.0,7.0
1.5,3.0
2.5,4.0
5.0,3.5
12.0,27.0
-1.0,7.0
0.5,6.5
1.0,4.5
1.0,4.0
3.5,7.5
3.5,3.0
1.5,1.0
0.5,-1.5
3.5,-1.0
18.5,20.0
3.5,6.5
0.0,-1.0
1.0,-3.0
5.0,9.0
0.5,3.0
4.5,2.0
2.0,7.0
3.0,4.5
4.5,4.5
5.0,9.5
2.0,6.5
0.5,-1.5
-0.5,-2.0
6.0,10.0
2.5,6.0
0.5,8.5
8.0,4.0
6.5,8.5
1.0,3.0
-0.5,8.5
2.0,1.0
1.5,11.5
17.0,19.0
3.0,1.0
6.0,4.5
8.0,15.5
1.0,5.5
2.0,4.5
2.5,3.0
2.0,7.5
12.0,7.5
