BOLOGNA C.LE,FIRENZE S.M.N.
1.5,12.5
7.0,9.0
4.5,5.5
11.0,14.0
3.0,2.0
4.0,7.0
3.5,11.0
0.5,20.0
4.0,8.5
6.5,7.5
-2.0,6.0
3.0,16.0
1.5,7.0
4.5,1.5
2.5,4.5
2.5,10.5
13.5,18.0
-2.5,5.5
2.5,4.5
7.5,11.0
7.5,10.5
3.0,5.5
9.0,14.0
4.0,1.5
4.0,13.5
2.5,3.5
3.0,2.0
1.5,1.0
0.5,8.5
2.0,9.5
23.0,20.5
2.5,3.5
4.5,9.5
10.5,21.5
8.0,9.0
-1.0,5.0
-2.0,5.0
-1.5,7.0
23.5,21.0
-2.5,19.0
-2.5,3.5
5.5,8.0
5.5,5.5
2.0,8.5
1.5,10.5
1.5,12.0
-2.0,2.5
5.0,5.0
5.5,9.0
1.5,15.0
1.0,12.5
3.0,2.5
7.0,10.0
5.0,3.5
4.0,10.0
-1.0,2.0
4.0,2.0
-4.0,7.0
3.0,6.5
3.0,16.0
0.5,6.5
8.5,8.5
4.5,8.0
3.5,9.5
