CASTELBOLOGNESE,IMOLA
-1.5,0.0
-2.0,-0.5
1.5,2.0
4.0,4.5
0.0,0.5
-0.5,0.0
0.0,0.0
2.0,2.5
1.5,4.5
8.5,7.5
2.0,2.5
1.5,3.0
2.0,5.5
-0.5,7.5
-1.5,-0.5
6.0,9.0
0.0,0.0
4.5,9.0
-1.0,1.0
1.0,0.5
-0.5,1.0
0.0,0.0
2.5,2.5
0.0,0.0
1.5,1.0
2.0,2.0
-0.5,0.5
17.5,20.0
6.0,6.5
1.0,4.0
4.5,4.5
0.5,1.5
2.5,5.0
-0.5,0.0
1.5,2.5
0.5,0.0
1.5,2.0
3.5,8.0
0.5,0.5
-1.0,0.0
1.0,1.0
2.0,2.5
-1.0,-0.5
-0.5,-1.0
2.5,4.0
5.5,5.5
0.5,0.0
0.5,1.0
-1.0,0.0
0.0,0.5
-1.0,0.0
-1.0,-0.5
0.0,3.0
2.5,2.5
-1.5,3.5
-1.5,0.0
2.5,3.0
0.0,0.0
-0.5,0.5
-1.0,-0.5
0.0,2.5
0.5,0.5
1.0,4.0
1.5,1.5
-0.5,0.5
3.5,4.0
-2.0,0.0
4.5,4.0
-1.0,1.5
1.5,0.5
0.0,0.5
0.0,2.0
10.0,10.0
3.5,4.5
0.5,1.5
3.5,3.5
-0.5,-0.5
1.5,2.0
0.0,1.0
0.0,0.0
-1.5,1.5
3.5,7.5
-1.5,-1.0
0.5,1.0
-1.0,0.5
2.0,3.0
0.0,0.0
2.5,2.5
3.0,2.5
3.0,4.0
-1.0,-0.5
-0.5,-1.0
1.5,2.0
-2.0,-1.0
-1.0,1.5
0.5,0.0
6.0,6.0
0.5,5.5
0.0,-0.5
2.0,2.5
1.0,1.0
-0.5,0.5
0.5,0.5
-1.0,0.0
-0.5,0.0
-1.5,-0.5
-1.0,0.0
1.0,1.5
1.5,1.0
2.0,2.5
1.0,3.5
-1.0,3.0
0.5,1.0
0.5,0.5
0.5,1.5
-1.0,3.0
-1.0,5.0
0.0,0.0
0.0,6.0
-1.5,-1.0
4.0,3.5
0.5,1.5
0.5,0.5
2.0,2.0
45.0,45.0
0.0,-0.5
2.0,2.0
0.5,1.0
-1.5,1.5
-0.5,1.5
3.0,2.5
2.5,1.5
10.5,10.0
0.0,1.0
-1.0,0.0
