PORTO S. GIORGIO FERMO,CIVITANOVA MARCHE
-4.0,0.0
-4.5,0.0
19.0,19.0
-4.0,1.0
-4.0,0.5
-5.0,-0.5
3.5,4.5
-4.0,1.0
0.5,1.0
5.0,5.0
-2.0,1.5
-4.5,1.0
-4.5,0.5
3.5,3.5
-2.5,2.5
-3.5,21.5
-3.0,1.0
-4.0,0.5
-3.0,1.0
1.5,1.5
-4.5,0.5
-4.0,0.5
-5.0,0.0
-2.5,0.5
-4.5,0.5
-3.0,1.0
-3.5,0.0
2.0,2.0
-4.5,1.0
6.0,7.0
-3.5,0.5
-0.5,0.5
-3.0,2.0
-3.0,1.5
-0.5,0.5
-4.5,0.0
0.5,1.0
-5.0,0.0
3.5,4.0
-3.0,0.5
-5.0,0.5
-5.0,0.5
18.5,18.0
-3.5,0.0
-5.0,0.0
14.0,14.0
-4.5,0.0
-3.5,0.5
-3.5,0.5
10.5,11.5
-4.0,-0.5
-5.0,0.0
-4.5,0.0
-1.5,0.5
-1.5,0.5
-3.0,0.5
-2.0,-0.5
-2.5,0.5
-0.5,1.0
6.0,6.0
-5.0,0.0
-4.5,0.5
-5.0,0.0
-4.5,0.5
1.5,1.0
1.5,2.0
-4.0,8.5
-2.5,1.0
1.0,1.5
8.0,8.0
-4.5,0.5
-3.5,1.0
0.5,1.5
-4.0,0.0
-5.0,0.5
-3.0,1.5
-4.5,0.0
0.5,1.0
-4.0,1.0
-4.5,1.5
-1.0,1.0
5.0,4.5
-4.5,0.0
-1.5,1.0
2.5,3.0
3.0,3.0
2.5,4.5
11.5,12.5
-3.0,1.5
-4.5,0.5
1.5,2.5
0.0,0.5
9.0,10.0
8.5,8.5
5.5,6.0
10.5,10.5
-4.0,0.5
-4.0,0.0
0.5,1.0
-4.0,0.5
1.5,2.5
41.0,41.5
1.5,1.0
-5.0,0.0
8.5,8.5
-4.5,3.0
22.5,22.5
1.0,1.0
-4.0,0.5
-4.5,-0.5
-4.5,1.5
9.0,17.5
-4.5,1.0
47.0,47.5
-4.5,0.0
-3.0,0.5
-4.5,0.0
-4.5,0.5
-2.0,1.0
-5.5,-0.5
-4.5,0.5
-2.5,0.5
3.0,3.5
1.5,5.0
2.5,3.0
-4.0,0.5
-1.5,0.5
-2.0,1.5
-5.0,0.5
3.0,3.0
-2.5,1.0
-3.5,0.0
-4.5,0.0
-4.5,0.5
-4.5,0.5
-4.5,0.5
0.0,0.5
-2.0,1.5
-4.5,0.0
-5.0,0.5
