RIMINI VISERBA,RIMINI
-1.0,-1.5
0.0,-1.0
0.5,0.0
0.5,2.0
-1.0,-1.5
-0.5,0.0
2.5,1.0
1.5,1.5
-1.0,-1.5
31.5,30.5
31.0,30.0
8.5,8.0
4.5,4.0
6.0,6.0
2.5,2.0
0.5,0.5
10.0,9.5
20.0,20.0
-0.5,-1.0
4.5,4.0
-0.5,0.5
-1.0,0.5
-1.0,0.5
0.5,-0.5
-0.5,-1.5
-0.5,-1.0
0.0,-0.5
-0.5,-1.0
-0.5,-2.0
1.0,0.5
-0.5,-1.0
5.5,4.5
0.5,0.5
-1.0,-2.0
0.5,-0.5
1.0,0.0
0.5,1.0
-0.5,-0.5
55.5,54.0
0.5,0.5
-0.5,-1.0
-0.5,0.0
-0.5,-1.5
0.0,-0.5
1.0,0.0
0.5,0.5
0.5,0.5
-0.5,-1.0
6.0,6.5
17.0,16.0
0.0,-0.5
2.0,0.5
-0.5,0.5
-0.5,-1.5
1.0,0.0
-1.0,-2.0
2.0,1.5
3.0,2.5
2.0,1.5
1.5,0.5
-0.5,-0.5
18.5,17.5
-0.5,-1.0
1.5,1.5
-0.5,-1.5
1.5,1.0
1.5,0.5
0.5,0.5
2.0,1.0
-0.5,-1.5
0.5,0.0
-0.5,-1.5
1.5,1.0
-0.5,-1.0
1.0,0.0
0.5,-0.5
10.0,9.0
0.5,2.0
1.0,0.0
-0.5,-1.5
1.0,0.0
-0.5,-1.0
1.0,-0.5
57.0,59.0
0.0,-0.5
-0.5,-0.5
-0.5,-1.0
-0.5,-1.0
-0.5,-1.5
5.5,4.0
-0.5,3.0
-0.5,0.0
0.0,-0.5
2.5,0.5
1.0,0.0
-0.5,-1.0
0.0,1.0
0.5,0.0
0.0,-1.0
2.0,2.0
0.5,0.0
4.0,3.0
0.5,-0.5
0.0,-0.5
-1.5,0.0
1.0,0.5
17.5,16.5
-0.5,-1.5
5.5,4.5
0.0,-0.5
0.5,-0.5
-0.5,2.0
1.5,1.5
4.0,3.0
0.5,-0.5
0.0,-1.0
